,,Normalized data,,,,,SINDy model,lambda=0.062,,,,,SINDy model,lambda=0.04,,
time (s),NADH,ATP,DiOC2(3),PBFI,,time (s),NADH,ATP,DiOC2(3),PBFI,,time (s),NADH,ATP,DiOC2(3),PBFI
665,0.301340923,0.249141599,0.5631468,0.615818389,,665,0.363605298,0.316325404,0.64092455,0.498853369,,665,0.234396447,0.217695298,0.642934598,0.147583547
666,0.165295239,0.237944643,0.551584363,0.676925469,,666,0.35408685,0.319104758,0.64092455,0.474777228,,666,0.264656906,0.267251891,0.668315398,0.118135706
667,0.31620552,0.264544546,0.631149013,0.550326526,,667,0.346077391,0.324146178,0.64092455,0.451034974,,667,0.307850586,0.326963853,0.694047837,0.098034376
668,0.405051737,0.250512735,0.618770266,0.499108531,,668,0.339991029,0.3315133,0.64092455,0.42785307,,668,0.36186806,0.396242993,0.717736253,0.087982151
669,0.444096744,0.24342064,0.718136855,0.471120556,,669,0.336205087,0.341293165,0.64092455,0.405480024,,669,0.423290188,0.47341488,0.737058956,0.088270929
670,0.514086783,0.232535342,0.715260469,0.410013476,,670,0.335045423,0.353591916,0.64092455,0.384186403,,670,0.487640019,0.555740333,0.750111611,0.098690158
671,0.478526716,0.334633237,0.717553963,0.533533741,,671,0.33676988,0.368528694,0.64092455,0.36426429,,671,0.549913983,0.639680835,0.755683239,0.118531981
672,0.482589994,0.372006251,0.799789489,0.465336374,,672,0.341549939,0.386226991,0.64092455,0.346026929,,672,0.605284828,0.721350528,0.753392458,0.146703509
673,0.529578146,0.373610906,0.848538165,0.381092568,,673,0.349450808,0.406802498,0.64092455,0.329809367,,673,0.649793829,0.797020729,0.743666642,0.181908668
674,0.571571656,0.409546581,0.825962391,0.380066342,,674,0.360410394,0.430346242,0.64092455,0.315970823,,674,0.680857464,0.863530574,0.727603153,0.222834566
675,0.66262145,0.527272904,0.909981015,0.253187519,,675,0.374218071,0.456901581,0.64092455,0.304899145,,675,0.697493801,0.918513111,0.706775263,0.268285452
676,0.680193191,0.545056954,0.792054088,0.330061159,,676,0.390494947,0.486433524,0.64092455,0.297016875,,676,0.700272594,0.960429851,0.68303072,0.317240389
677,0.762008281,0.54551985,0.900186639,0.316347051,,677,0.408678708,0.518789111,0.64092455,0.292787055,,677,0.6910602,0.988470586,0.658301214,0.368844755
678,0.856091024,0.641580847,0.878556212,0.2451643,,678,0.428018125,0.553648536,0.64092455,0.292714843,,678,0.672650216,1.002397178,0.63442203,0.422364035
679,0.864810135,0.625177833,0.951479547,0.261490619,,679,0.447584848,0.590468966,0.64092455,0.297338348,,679,0.64835768,1.002396501,0.612962473,0.477129097
680,0.843914474,0.685646211,0.917000299,0.337058153,,680,0.466312495,0.628427146,0.64092455,0.307199546,,680,0.621630655,0.988978357,0.595080974,0.532492548
681,0.820288006,0.705371075,0.906595481,0.410853115,,681,0.483073601,0.666373298,0.64092455,0.322785085,,681,0.595712199,0.962925365,0.581430019,0.587803777
682,0.869394505,0.813985965,0.860980603,0.425126982,,682,0.496801083,0.70281661,0.64092455,0.344429856,,682,0.573371561,0.925282142,0.572135,0.642400647
683,0.996139108,0.851000198,0.866959947,0.401150617,,683,0.506649409,0.735968737,0.64092455,0.372186391,,683,0.556714354,0.877361932,0.566856417,0.695610445
684,0.852539412,0.815575265,0.844582636,0.459925365,,684,0.512170843,0.76387006,0.64092455,0.405681496,,684,0.547074562,0.820748452,0.564922939,0.746751887
685,0.948353291,0.858083835,0.832543847,0.515808023,,685,0.513459028,0.784606989,0.64092455,0.444003524,,685,0.544985262,0.757275641,0.565503231,0.795133067
686,0.888716465,0.861693612,0.774977148,0.568705297,,686,0.51119944,0.796595179,0.64092455,0.485676436,,686,0.550219345,0.688975461,0.567775092,0.840045182
687,0.701644853,0.854969813,0.746652781,0.53437338,,687,0.506580498,0.798863505,0.64092455,0.528764182,,687,0.561886628,0.617992145,0.571054134,0.880756351
688,0.766532639,0.766527344,0.673656322,0.508437856,,688,0.501065976,0.79125067,0.64092455,0.571105035,,688,0.578570146,0.546469439,0.574858544,0.91651165
689,0.716059822,0.763956268,0.637632251,0.611620193,,689,0.496089883,0.774442904,0.64092455,0.610618068,,689,0.598482848,0.476424748,0.578905535,0.946544008
690,0.762468295,0.772293851,0.534594866,0.586617601,,690,0.492772339,0.749837112,0.64092455,0.645588152,,690,0.619627219,0.409629034,0.583052691,0.970097149
691,0.617203388,0.740335125,0.505483032,0.570757749,,691,0.491743352,0.719279277,0.64092455,0.67484662,,691,0.639944415,0.3475119,0.587209079,0.986458177
692,0.577875403,0.652372015,0.42912884,0.559749145,,692,0.493109248,0.684765342,0.64092455,0.697814309,,692,0.657445425,0.291106602,0.591244863,0.994995507
693,0.478463995,0.623280298,0.45506699,0.646511869,,693,0.496538707,0.648185417,0.64092455,0.714428574,,693,0.670322411,0.241040847,0.594924901,0.995197903
694,0.486121443,0.551209041,0.390784048,0.556763761,,694,0.501412945,0.611155999,0.64092455,0.725006535,,694,0.677041989,0.197569189,0.597883493,0.986711678
695,0.452467063,0.461145823,0.427927208,0.628226392,,695,0.50698432,0.574945138,0.64092455,0.730096969,,695,0.676422677,0.160635038,0.599646663,0.969374376
696,0.362408086,0.471935364,0.36454007,0.696890225,,696,0.512506863,0.540469985,0.64092455,0.730355098,,696,0.6676969,0.129947035,0.599697403,0.94324371
697,0.246790324,0.380099403,0.345864593,0.601731108,,697,0.517324599,0.508338181,0.64092455,0.72645362,,697,0.650555174,0.105055884,0.597570206,0.908619898
698,0.283991295,0.369830487,0.350406413,0.545941744,,698,0.52091941,0.478908215,0.64092455,0.719028783,,698,0.625168255,0.085422487,0.592955401,0.86605833
699,0.232621195,0.292488864,0.375605154,0.661345496,,699,0.522927705,0.452351981,0.64092455,0.708653485,,699,0.592183066,0.070473835,0.585792123,0.816368438
700,0.198706635,0.249645963,0.417994796,0.594360941,,700,0.523136651,0.428710475,0.64092455,0.695828313,,700,0.552690266,0.059647918,0.576331422,0.760594632
701,0.183190901,0.24912787,0.463843247,0.582326112,,701,0.521469001,0.407939144,0.64092455,0.680982982,,701,0.508164942,0.052431651,0.565157235,0.699976922
702,0.16881164,0.182878686,0.483091755,0.47699803,,702,0.517963019,0.389942655,0.64092455,0.664482998,,702,0.460386216,0.048396412,0.553161186,0.63589235
703,0.264991334,0.201382881,0.511806209,0.622255624,,703,0.512751535,0.374600375,0.64092455,0.646638427,,703,0.411345435,0.047234777,0.541475414,0.569783138
704,0.313067356,0.245944805,0.518187671,0.366165647,,704,0.506042387,0.361784372,0.64092455,0.627713103,,704,0.36315477,0.048800074,0.531373878,0.50308184
705,0.2727609,0.183073773,0.536630127,0.449010055,,705,0.498101229,0.35137174,0.64092455,0.607933547,,705,0.317967432,0.053148157,0.524155356,0.437146324
706,0.352729327,0.300322581,0.596328301,0.321291593,,706,0.489236947,0.343252739,0.64092455,0.587497307,,706,0.277916507,0.060578219,0.521020432,0.373216757
707,0.341485361,0.242722285,0.615665968,0.415890951,,707,0.479789476,0.337335966,0.64092455,0.566580683,,707,0.245071827,0.071666502,0.522951143,0.312402697
708,0.264875336,0.274123816,0.642752538,0.349746035,,708,0.470119575,0.333551448,0.64092455,0.545345812,,708,0.221404458,0.087282768,0.530597752,0.255701594
709,0.344857109,0.366297361,0.732598312,0.372602882,,709,0.460600034,0.331852288,0.64092455,0.523947122,,709,0.208738325,0.10857446,0.54417512,0.204041586
710,0.378433078,0.41672118,0.813001446,0.414118379,,710,0.451607738,0.332215298,0.64092455,0.502537081,,710,0.208661554,0.136898758,0.56337357,0.158333013
711,0.504362273,0.420923224,0.736159547,0.311029336,,711,0.44351606,0.334640859,0.64092455,0.481271197,,711,0.222371089,0.173681455,0.587296972,0.119506089
712,0.505025982,0.46588486,0.828642551,0.301793304,,712,0.436687084,0.33915215,0.64092455,0.460312202,,712,0.25043897,0.22018939,0.614451743,0.088509666
713,0.584082093,0.477649565,0.883326814,0.357209495,,713,0.431463237,0.345793715,0.64092455,0.439833411,,713,0.292521677,0.277226022,0.642817967,0.066251842
714,0.642956022,0.590714234,0.857240793,0.352731419,,714,0.428157978,0.35462927,0.64092455,0.42002134,,714,0.34708147,0.344798332,0.67002775,0.053481021
715,0.642123598,0.620998121,0.868993065,0.284627345,,715,0.427045275,0.365738498,0.64092455,0.40107776,,715,0.411231558,0.421845507,0.69364829,0.05063419
716,0.696761416,0.710209302,0.902249126,0.361500985,,716,0.428347656,0.379212485,0.64092455,0.383221508,,716,0.480822882,0.506138874,0.711522549,0.057706183
717,0.855260619,0.628428521,0.991381905,0.408054317,,717,0.43222274,0.395147258,0.64092455,0.366690473,,717,0.55083314,0.59443018,0.722081935,0.074200266
718,0.910001449,0.766624723,0.998898508,0.357396082,,718,0.438748225,0.413634748,0.64092455,0.351744251,,718,0.616008739,0.682839754,0.724543373,0.099193552
719,0.801273172,0.858766852,1.000408327,0.504986006,,719,0.44790554,0.434750274,0.64092455,0.338667915,,719,0.671603447,0.76737753,0.718947825,0.131500097
720,0.845269049,0.840569193,0.957254911,0.485487716,,720,0.459562644,0.458535453,0.64092455,0.327777139,,720,0.714018758,0.844438127,0.706062637,0.169870611
721,0.839840447,0.843901311,0.942477598,0.499854877,,721,0.473457057,0.48497533,0.64092455,0.319424414,,721,0.741201058,0.911137108,0.687212503,0.21315836
722,0.761404919,0.855179357,0.904511866,0.586337722,,722,0.489181113,0.513968551,0.64092455,0.314005233,,722,0.752750496,0.965436674,0.664100372,0.260407394
723,0.867388302,0.843490285,0.863995005,0.641287447,,723,0.506172819,0.545289923,0.64092455,0.311961725,,723,0.749784829,1.006092633,0.638644927,0.310859321
724,0.818486528,0.81358565,0.850131211,0.492298124,,724,0.523717522,0.578545967,0.64092455,0.313779404,,724,0.734642881,1.032501003,0.612827848,0.363904057
725,0.910989283,0.77446545,0.831993325,0.619923292,,725,0.540967574,0.613126648,0.64092455,0.319970567,,725,0.710510197,1.04452541,0.588534074,0.419008938
726,0.844927998,0.754639004,0.754571463,0.597719498,,726,0.556988423,0.648160612,0.64092455,0.331036389,,726,0.681027026,1.042361847,0.567382046,0.475654133
727,0.79207711,0.708603204,0.751083026,0.593801182,,727,0.570838474,0.682487046,0.64092455,0.347400295,,727,0.649916357,1.026465053,0.550564082,0.533289714
728,0.725269643,0.634848735,0.631585581,0.689986524,,728,0.58168448,0.714663102,0.64092455,0.36931003,,728,0.620655424,0.997533692,0.538733118,0.591317659
729,0.754305398,0.622928392,0.64445983,0.650803359,,729,0.588942285,0.743028527,0.64092455,0.396716823,,729,0.596206786,0.956534403,0.531970902,0.649093205
730,0.64505796,0.587481925,0.537888789,0.559375972,,730,0.592415601,0.765843349,0.64092455,0.429156378,,730,0.578820735,0.904737906,0.529854051,0.705935301
731,0.590997606,0.522248466,0.530182499,0.627666632,,731,0.592389502,0.781496024,0.64092455,0.465672232,,731,0.569916262,0.843741444,0.531606192,0.761135837
732,0.51524559,0.447799443,0.532794353,0.685041982,,732,0.589632217,0.788749786,0.64092455,0.504825861,,732,0.570042116,0.775458088,0.536298615,0.813961273
733,0.523545533,0.394488894,0.434018458,0.649030787,,733,0.585279336,0.786966073,0.64092455,0.544819271,,733,0.578912824,0.702062005,0.543048624,0.863646712
734,0.435350312,0.367347873,0.372223865,0.719840365,,734,0.580616817,0.776234815,0.64092455,0.583715783,,734,0.595507667,0.62588841,0.551168111,0.909388143
735,0.30923868,0.297171413,0.413567701,0.588017,,735,0.576823512,0.757364798,0.64092455,0.6197019,,735,0.618214826,0.549296852,0.560232032,0.950340927
736,0.302552625,0.245002991,0.333752611,0.550792993,,736,0.574753068,0.731736171,0.64092455,0.651313988,,736,0.644999718,0.474516077,0.570060447,0.985630674
737,0.23163214,0.232811552,0.381153735,0.583818804,,737,0.574815933,0.701065117,0.64092455,0.677570701,,737,0.673577308,0.403495474,0.58063032,1.014378054
738,0.239952741,0.166795853,0.318573836,0.573649839,,738,0.576977927,0.66715244,0.64092455,0.697993763,,738,0.701573217,0.337789144,0.591948731,1.035734469
739,0.204414114,0.158533535,0.351406102,0.464869908,,739,0.58084949,0.631676743,0.64092455,0.712539882,,739,0.726666075,0.278492198,0.603924822,1.048923295
740,0.324429305,0.144633292,0.408311228,0.479237069,,740,0.585819257,0.596062752,0.64092455,0.721486282,,740,0.746710809,0.226236418,0.616274395,1.053281786
741,0.210605159,0.168138603,0.411956838,0.45031616,,741,0.591188727,0.561425275,0.64092455,0.725309834,,741,0.759846535,0.181238445,0.62848101,1.048300813
742,0.283086303,0.161130214,0.494695918,0.375681559,,742,0.596280866,0.528571065,0.64092455,0.72458514,,742,0.764592247,0.143382994,0.639823664,1.033661657
743,0.25926084,0.197229242,0.502671624,0.398724992,,743,0.600512755,0.498035648,0.64092455,0.719911208,,743,0.759930018,0.112319709,0.649466553,1.009270023
744,0.357219106,0.278168606,0.489181271,0.365326008,,744,0.603434355,0.470135388,0.64092455,0.711865603,,744,0.745371348,0.087555151,0.656593589,0.975286887
745,0.271332748,0.266600481,0.570252655,0.363926609,,745,0.604741133,0.445021381,0.64092455,0.700979946,,745,0.721000059,0.068528871,0.660561471,0.932154024
746,0.318832654,0.300990706,0.573990521,0.271659583,,746,0.604269335,0.422727803,0.64092455,0.687729834,,746,0.687485407,0.054670993,0.661041619,0.880609785
747,0.361337091,0.30134549,0.635327635,0.331833731,,747,0.601981407,0.403211732,0.64092455,0.672533377,,747,0.646061628,0.045445415,0.65812373,0.821688935
748,0.424692395,0.362248686,0.672618746,0.187042604,,748,0.597947008,0.386384081,0.64092455,0.655754355,,748,0.598473858,0.040386017,0.652361145,0.756700484
749,0.51814287,0.384308988,0.674698402,0.182284648,,749,0.59232315,0.372132601,0.64092455,0.637707509,,749,0.546894601,0.039133208,0.644748929,0.687180366
750,0.54292527,0.483687888,0.798830508,0.342749041,,750,0.585335461,0.360338396,0.64092455,0.618664659,,750,0.493818939,0.041475543,0.636637073,0.614821496
751,0.524131295,0.495310852,0.743357433,0.267461387,,751,0.577261563,0.350887409,0.64092455,0.598861006,,751,0.44194938,0.047397158,0.629590897,0.541390656
752,0.652872975,0.574413903,0.832286585,0.335472168,,752,0.568416849,0.343678169,0.64092455,0.578501359,,752,0.394081109,0.057127189,0.625216704,0.468647115
753,0.544756631,0.59382313,0.816391184,0.241992329,,753,0.559142561,0.338626827,0.64092455,0.557766202,,753,0.352993802,0.071182286,0.624972198,0.398279148
754,0.661243313,0.679147227,0.869260488,0.358982067,,754,0.54979584,0.335670284,0.64092455,0.536817547,,754,0.32134699,0.090387859,0.629979219,0.331870026
755,0.759528273,0.725237127,0.921291388,0.411972634,,755,0.540741279,0.33476798,0.64092455,0.515804516,,755,0.301563979,0.115857963,0.64085382,0.270895055
756,0.831027493,0.748863016,0.998261303,0.32465015,,756,0.532343509,0.335902745,0.64092455,0.494868583,,756,0.295679748,0.14890944,0.657569091,0.21673818
757,0.877438898,0.783565266,0.877586381,0.425500155,,757,0.524960293,0.339080962,0.64092455,0.474148406,,757,0.305128434,0.190887444,0.679371325,0.170704731
758,0.873010458,0.810337667,0.923655533,0.524297709,,758,0.518935652,0.344332143,0.64092455,0.453784191,,758,0.330464691,0.242893261,0.704778116,0.134001559
759,0.935654332,0.820795125,0.964583539,0.53894475,,759,0.51459258,0.351707958,0.64092455,0.43392161,,759,0.37105408,0.305437365,0.73168945,0.107663151
760,0.917650141,0.788161242,0.926464333,0.596693273,,760,0.51222493,0.361280572,0.64092455,0.414715373,,760,0.424821966,0.37808791,0.757628249,0.092425375
761,0.818148909,0.767833535,0.969151593,0.61096714,,761,0.512088082,0.373140098,0.64092455,0.396332662,,761,0.488189459,0.45922765,0.780088723,0.088581888
762,0.879578042,0.745333742,0.877780784,0.601264642,,762,0.514388055,0.387390759,0.64092455,0.378956773,,762,0.556309807,0.546036383,0.796920692,0.095884385
763,0.85205806,0.788357515,0.866359664,0.674873018,,763,0.519268748,0.40414523,0.64092455,0.362791436,,763,0.623629522,0.634756034,0.806646825,0.113544444
764,0.877177886,0.660333426,0.838632259,0.733834353,,764,0.526797059,0.423516353,0.64092455,0.348066349,,764,0.684667408,0.721186486,0.808627267,0.14035437
765,0.720811105,0.634224208,0.815214912,0.675992537,,765,0.536945804,0.445605163,0.64092455,0.335044453,,765,0.734806853,0.801262091,0.803049501,0.174888192
766,0.838098676,0.621539178,0.795251929,0.654721675,,766,0.549574633,0.470483822,0.64092455,0.32403129,,766,0.77089449,0.871534075,0.790789664,0.215709032
767,0.726640422,0.581750384,0.667874722,0.736539857,,767,0.564409782,0.498171752,0.64092455,0.315386252,,767,0.791526755,0.929444113,0.773220507,0.261516678
768,0.65687968,0.540907518,0.627319732,0.670861408,,768,0.581024538,0.528603082,0.64092455,0.309534583,,768,0.797022303,0.973373459,0.752022065,0.311207917
769,0.537788244,0.434892566,0.588505574,0.755758267,,769,0.598824045,0.561583822,0.64092455,0.306977299,,769,0.78915909,1.002530459,0.72901187,0.363862456
770,0.608774971,0.478196211,0.584939255,0.728050171,,770,0.617040543,0.596738352,0.64092455,0.308293738,,770,0.770778912,1.016767758,0.70598545,0.418688202
771,0.587039304,0.395675597,0.446467721,0.647538095,,771,0.634748138,0.633447676,0.64092455,0.314128348,,771,0.745346683,1.016406024,0.684558032,0.474959248
772,0.500880153,0.400759294,0.409420493,0.604343319,,772,0.650908795,0.670787175,0.64092455,0.325150453,,772,0.716523909,1.002107277,0.66601573,0.531967743
773,0.429157163,0.269397614,0.405049786,0.560308904,,773,0.664461288,0.707479608,0.64092455,0.341975111,,773,0.687792872,0.97480771,0.651201674,0.588997002
774,0.38073732,0.243360743,0.374055106,0.587830414,,774,0.674458944,0.741888475,0.64092455,0.365038242,,774,0.662153603,0.935697036,0.6404664,0.645312937
775,0.290816083,0.243884705,0.293235441,0.53092153,,775,0.680246696,0.772083141,0.64092455,0.394433511,,775,0.641906588,0.886220578,0.633699178,0.700165811
776,0.290511774,0.166267637,0.306966915,0.518700114,,776,0.681643302,0.796002192,0.64092455,0.429742397,,776,0.628526691,0.828079168,0.630434119,0.752793923
777,0.207200965,0.133267304,0.349083352,0.335938634,,777,0.679068925,0.811717269,0.64092455,0.469914623,,777,0.622626278,0.763207204,0.630002472,0.802424094
778,0.192754519,0.156119729,0.398947655,0.509930548,,778,0.673550107,0.81775632,0.64092455,0.513265778,,778,0.623998217,0.693717718,0.631690215,0.848268775
779,0.253020868,0.157458454,0.356008283,0.360474759,,779,0.666562068,0.813400061,0.64092455,0.557633779,,779,0.63172307,0.621813005,0.634861878,0.889523834
780,0.233204905,0.115594037,0.28301596,0.375961439,,780,0.659731758,0.798849695,0.64092455,0.600675231,,780,0.64432051,0.549668834,0.639025491,0.92537267
781,0.240842518,0.104203498,0.3793375,0.35879548,,781,0.654492199,0.775199484,0.64092455,0.640216977,,781,0.659923523,0.479308092,0.643833429,0.955000758
782,0.33064494,0.271982487,0.374270237,0.319145848,,782,0.651804606,0.744222539,0.64092455,0.674550781,,782,0.676455805,0.412484104,0.649032418,0.977621344
783,0.2717873,0.172676347,0.46031774,0.420835493,,783,0.652030113,0.708048539,0.64092455,0.702589891,,783,0.691797559,0.350593082,0.654388102,0.992509691
784,0.28009602,0.26092483,0.526621336,0.270540064,,784,0.654962923,0.668837707,0.64092455,0.723871963,,784,0.703931235,0.294628973,0.659613029,0.999041687
785,0.29774696,0.360361475,0.481207663,0.258411942,,785,0.659976688,0.628531177,0.64092455,0.738450039,,785,0.711064539,0.245184177,0.664322593,0.996732933
786,0.454443496,0.331067029,0.54582324,0.277350472,,786,0.666213895,0.588709753,0.64092455,0.746735153,,786,0.7117316,0.202489691,0.668033815,0.985275763
787,0.473327843,0.364221614,0.599280873,0.214564113,,787,0.672760564,0.550551436,0.64092455,0.749343534,,787,0.704873876,0.166481524,0.670209959,0.964572832
788,0.452785903,0.462452561,0.633851121,0.300953664,,788,0.678775676,0.514857291,0.64092455,0.746976975,,788,0.689901014,0.136878341,0.67034265,0.934766121
789,0.536387523,0.463927572,0.616011761,0.35562351,,789,0.68356902,0.482113087,0.64092455,0.740343168,,789,0.666729885,0.113257971,0.668054491,0.89625924
790,0.612351955,0.561224286,0.713363439,0.255893024,,790,0.686635353,0.45256194,0.64092455,0.73011016,,790,0.635798796,0.095125582,0.663200645,0.849729413
791,0.649456045,0.641088044,0.692984852,0.404509174,,791,0.687657775,0.426273047,0.64092455,0.716884874,,791,0.598054171,0.081971805,0.655947806,0.796124451
792,0.728068716,0.625202077,0.818721837,0.376334612,,792,0.686492547,0.403199592,0.64092455,0.701206268,,792,0.554908925,0.073323055,0.646813305,0.736640364
793,0.750370021,0.683112968,0.810410031,0.420369027,,793,0.683144764,0.383224062,0.64092455,0.683546283,,793,0.508174931,0.068787963,0.63665447,0.672677803
794,0.770505218,0.758528793,0.828749643,0.375681559,,794,0.677741115,0.366191862,0.64092455,0.664314322,,794,0.459975572,0.06810335,0.626607127,0.605780061
795,0.891671025,0.776375016,0.850552326,0.396579247,,795,0.67050346,0.351935241,0.64092455,0.643863027,,795,0.41264712,0.071180937,0.617980163,0.537560656
796,0.920963123,0.781372134,0.933389756,0.511236654,,796,0.661725136,0.340289699,0.64092455,0.62249436,,796,0.368638063,0.078152785,0.61211862,0.469632697
797,0.962238537,0.787215801,0.889907311,0.503866487,,797,0.651750784,0.331104858,0.64092455,0.600465696,,797,0.33041217,0.089409383,0.610250042,0.403553097
798,0.904282501,0.816657568,0.945278476,0.52345807,,798,0.640959771,0.324251401,0.64092455,0.57799588,,798,0.300353969,0.105619738,0.613328183,0.340791227
799,0.961789479,0.81519433,0.920735212,0.543329532,,799,0.629752907,0.319625314,0.64092455,0.555271324,,799,0.280665716,0.127717891,0.621886848,0.282723846
800,0.787248716,0.754540373,0.946060452,0.690919457,,800,0.618541956,0.317150349,0.64092455,0.532452123,,800,0.273236758,0.156836426,0.635917049,0.230647877
801,0.897775808,0.74571433,0.923274489,0.595107287,,801,0.607741304,0.316779351,0.64092455,0.50967813,,801,0.279465023,0.194167701,0.654784699,0.185792755
802,0.894072975,0.679262785,0.915974115,0.698942676,,802,0.597761153,0.318494902,0.64092455,0.487074896,,802,0.300022852,0.240742778,0.677212616,0.149308792
803,0.795666462,0.620701266,0.918144139,0.766393698,,803,0.589001589,0.32230955,0.64092455,0.46475933,,803,0.334589501,0.297141157,0.701354031,0.122211866
804,0.816118777,0.606197476,0.87305866,0.749134446,,804,0.581846886,0.328265781,0.64092455,0.442845013,,804,0.381615506,0.363180848,0.724976288,0.105281027
805,0.761865292,0.521546444,0.796196623,0.816772053,,805,0.576659459,0.336435761,0.64092455,0.421447143,,805,0.438220693,0.437675609,0.745746288,0.098931655
806,0.764967625,0.391232643,0.739122722,0.711630559,,806,0.573772864,0.346920775,0.64092455,0.400687246,,806,0.500327868,0.518359331,0.761568597,0.103111146
807,0.596298839,0.431256074,0.662285057,0.743910024,,807,0.573483248,0.359850137,0.64092455,0.380697958,,807,0.563076619,0.60204301,0.770894094,0.117269127
808,0.605161931,0.412703692,0.620713592,0.766673577,,808,0.576038617,0.375379183,0.64092455,0.361628368,,808,0.621459536,0.684989237,0.77291762,0.140429465
809,0.562618623,0.318190404,0.572276677,0.591282264,,809,0.58162522,0.393685724,0.64092455,0.343650696,,809,0.671028711,0.763401239,0.767624479,0.17134668
810,0.514890473,0.303511242,0.512690987,0.655841194,,810,0.590350271,0.414963958,0.64092455,0.326969288,,810,0.708490864,0.833880957,0.755704043,0.208692137
811,0.498200088,0.290349435,0.472026967,0.568612004,,811,0.602220183,0.439414345,0.64092455,0.311833102,,811,0.732060072,0.893738035,0.738386687,0.251208736
812,0.378127586,0.196363369,0.390124219,0.607328703,,812,0.617113618,0.467227246,0.64092455,0.298552916,,812,0.741530577,0.941106212,0.717259511,0.297796867
813,0.268811933,0.167844968,0.327143131,0.617777547,,813,0.634749109,0.498557182,0.64092455,0.287524133,,813,0.738113803,0.97489807,0.694089508,0.347529171
814,0.368156903,0.161638954,0.297705089,0.482968799,,814,0.654648218,0.533483506,0.64092455,0.279255028,,814,0.724122736,0.994669244,0.670657121,0.399616505
815,0.276770386,0.13492545,0.247656036,0.345641132,,815,0.676097661,0.571952415,0.64092455,0.274397959,,815,0.702586117,1.000464031,0.64859562,0.45335462
816,0.267076645,0.19598396,0.237147723,0.427179434,,816,0.698118285,0.613695289,0.64092455,0.273776723,,816,0.676854945,0.992691045,0.629241371,0.508074898
817,0.177677494,0.188348645,0.359884087,0.339670364,,817,0.719455733,0.658121008,0.64092455,0.278396269,,817,0.650242095,0.972048378,0.613514356,0.563111174
818,0.206382373,0.185864226,0.303002998,0.334166062,,818,0.738616552,0.704187713,0.64092455,0.289411738,,818,0.625720023,0.939494098,0.601854657,0.617784267
819,0.190095162,0.166338156,0.308022017,0.251694827,,819,0.753981021,0.750275448,0.64092455,0.308025415,,819,0.605691261,0.896244259,0.594233345,0.671399094
820,0.163246201,0.178236273,0.300168959,0.382771846,,820,0.764021779,0.794106147,0.64092455,0.335280908,,820,0.591839028,0.843776258,0.590237994,0.72324675
821,0.253652269,0.259794603,0.355063061,0.200290246,,821,0.76763203,0.832784569,0.64092455,0.371747145,,821,0.585058767,0.783817814,0.5892121,0.772605401
822,0.2041705,0.28635476,0.20200168,0.1,,822,0.764508483,0.863041939,0.64092455,0.417141795,,822,0.585465174,0.718308315,0.590412987,0.818737787
823,0.343068357,0.3348919,0.41506903,0.178646211,,823,0.755454551,0.881720969,0.64092455,0.470023576,,823,0.592463535,0.649327388,0.593149749,0.860887561
824,0.252087786,0.341679314,0.4682998,0.200663419,,824,0.742422466,0.886429913,0.64092455,0.527733488,,824,0.6048696,0.578994098,0.596871765,0.898279458
825,0.378351719,0.441046196,0.52412664,0.171649217,,825,0.72817294,0.876156737,0.64092455,0.58671212,,825,0.621059583,0.509348087,0.601194917,0.930128157
826,0.441512172,0.44991801,0.443314488,0.20728724,,826,0.715612767,0.85157897,0.64092455,0.643145703,,826,0.639131884,0.442229788,0.605870778,0.955658153
827,0.506373662,0.515928298,0.513786209,0.299087799,,827,0.707065132,0.814913942,0.64092455,0.693701281,,827,0.657065028,0.379178878,0.610718209,0.974133595
828,0.541807364,0.548741655,0.585131021,0.24059293,,828,0.703773756,0.769377363,0.64092455,0.736058774,,828,0.672861376,0.32136709,0.615543886,0.984894587
829,0.573093638,0.588606529,0.5877373,0.283880999,,829,0.705797487,0.718492545,0.64092455,0.769080257,,829,0.684671783,0.269574016,0.62007777,0.987395835
830,0.644756105,0.673032236,0.684035879,0.383331606,,830,0.71224194,0.665503456,0.64092455,0.792656104,,830,0.69090064,0.224204936,0.623942981,0.981244298
831,0.612375931,0.671546727,0.707302059,0.413558619,,831,0.721652165,0.613026241,0.64092455,0.807386479,,831,0.690292483,0.185341402,0.626669431,0.966233735
832,0.799787085,0.692709009,0.776999437,0.474479113,,832,0.732396642,0.56293911,0.64092455,0.814253827,,832,0.682000708,0.152810756,0.627749506,0.942374786
833,0.690439926,0.775761316,0.738414797,0.377267544,,833,0.742948926,0.516435794,0.64092455,0.814373219,,833,0.665636976,0.126260851,0.626724407,0.90991892
834,0.760416615,0.740424147,0.8313428,0.632797761,,834,0.752047857,0.474157565,0.64092455,0.808839526,,834,0.641298248,0.105229848,0.623283082,0.869373602
835,0.823227256,0.727622966,0.861556649,0.627013579,,835,0.758759164,0.436342161,0.64092455,0.798652835,,835,0.609568035,0.089206223,0.617353086,0.821504907
836,0.872646074,0.709631066,0.914118243,0.594267648,,836,0.762472923,0.402956552,0.64092455,0.784693559,,836,0.571489863,0.077678854,0.609164438,0.767323527
837,0.913578204,0.766945341,0.970142411,0.654908262,,837,0.762866801,0.373801537,0.64092455,0.76772313,,837,0.528513792,0.070180119,0.599272983,0.708051353
