,,Normalized data,,,,,SINDy model,lambda=0.062,,,,,SINDy model,lambda=0.04,,
time (s),NADH,ATP,DiOC2(3),PBFI,,time (s),NADH,ATP,DiOC2(3),PBFI,,time (s),NADH,ATP,DiOC2(3),PBFI
538,0.623113332,0.872492002,0.469210339,0.478677309,,538,-0.030743096,0.231031083,0.64092455,0.116030326,,538,0.211073271,0.20442911,0.604510024,-0.004393244
539,0.634732403,0.904938752,0.408485589,0.529335545,,539,-0.006023967,0.260527836,0.64092455,0.08881067,,539,0.274931367,0.271080032,0.644583089,-0.01859738
540,0.47722461,0.864275528,0.418253529,0.514501918,,540,0.027433132,0.295878667,0.64092455,0.06718069,,540,0.352151621,0.350924822,0.681476486,-0.023048636
541,0.468292487,0.793434007,0.424608258,0.63419716,,541,0.06895392,0.337846333,0.64092455,0.051556781,,541,0.438754514,0.442211441,0.712307028,-0.017215913
542,0.354377698,0.806507357,0.483418035,0.42046232,,542,0.117446313,0.387160768,0.64092455,0.042330886,,542,0.529136671,0.541602946,0.734730982,-0.001197707
543,0.325460316,0.781576322,0.525915213,0.469907743,,543,0.17131261,0.444422773,0.64092455,0.039999605,,543,0.616733969,0.644533172,0.747301306,0.024256866
544,0.340884214,0.656367612,0.398272922,0.555271069,,544,0.228323052,0.509944372,0.64092455,0.045329504,,544,0.6950037,0.745884166,0.749610948,0.057912797
545,0.40479989,0.684893649,0.420198029,0.552938737,,545,0.285472334,0.583494534,0.64092455,0.059534995,,545,0.758433277,0.840761183,0.74220813,0.098332241
546,0.223464537,0.650595426,0.565893767,0.676738883,,546,0.338886779,0.663920233,0.64092455,0.084410273,,546,0.803287429,0.925109578,0.726375179,0.144155632
547,0.183913047,0.591764869,0.565514113,0.564693687,,547,0.383920627,0.74864523,0.64092455,0.122295422,,547,0.827947069,0.996019524,0.703892956,0.194280661
548,0.226434687,0.536799493,0.555705028,0.641007567,,548,0.415652789,0.83314868,0.64092455,0.175685976,,548,0.832861969,1.051717209,0.676861533,0.247906396
549,0.179443656,0.491289361,0.520131735,0.627666632,,549,0.429982491,0.910715803,0.64092455,0.246296631,,549,0.820239045,1.091350383,0.647570791,0.304472479
550,0.247163819,0.427787267,0.582561064,0.6488442,,550,0.425260608,0.97295394,0.64092455,0.333623596,,550,0.793598943,1.114705024,0.618370699,0.363549932
551,0.273856774,0.364964019,0.568527718,0.570291282,,551,0.403807428,1.011493364,0.64092455,0.433601456,,551,0.757294801,1.121959472,0.591498333,0.424733706
552,0.386773321,0.351229555,0.618104428,0.523084897,,552,0.372143189,1.020610205,0.64092455,0.53845869,,552,0.716044006,1.113531105,0.568859758,0.487566574
