time (s),NADH,,time (s),DiOC2(3),,time (s),PBFI
813,154350,,813,23279,,813,3193
814,152500,,814,23316,,814,3160
815,153200,,815,23313,,815,3425
816,153800,,816,23306,,816,3623
817,153700,,817,23325,,817,3069
818,153700,,818,23351,,818,4287
819,156550,,819,23348,,819,3108
820,151500,,820,23332,,820,3816
821,152450,,821,23379,,821,2840
822,153650,,822,23324,,822,3629
823,153000,,823,23380,,823,3454
824,154550,,824,23391,,824,3837
825,152900,,825,23383,,825,4105
826,152750,,826,23405,,826,3660
827,154200,,827,23423,,827,3378
828,152300,,828,23417,,828,3607
829,153400,,829,23430,,829,3635
830,153400,,830,23442,,830,3788
831,152600,,831,23386,,831,3594
832,154100,,832,23456,,832,3854
833,152350,,833,23484,,833,4151
834,153650,,834,23467,,834,3735
835,153000,,835,23504,,835,3776
836,156150,,836,23529,,836,3773
837,156450,,837,23500,,837,3719
838,153300,,838,23562,,838,3870
839,153350,,839,23521,,839,3673
840,155050,,840,23456,,840,3515
841,154200,,841,23546,,841,3393
842,154650,,842,23453,,842,3697
843,154000,,843,23478,,843,3359
844,154150,,844,23573,,844,3650
845,155400,,845,23496,,845,3642
846,152400,,846,23529,,846,3936
847,155350,,847,23571,,847,3649
848,156800,,848,23555,,848,3454
849,153600,,849,23565,,849,3602
850,155300,,850,23567,,850,3217
851,154550,,851,23623,,851,3519
852,153750,,852,23621,,852,3322
853,154800,,853,23611,,853,3432
854,154800,,854,23636,,854,3196
855,152400,,855,23663,,855,3569
856,153100,,856,23616,,856,4216
857,157900,,857,23589,,857,4029
858,154950,,858,23624,,858,4550
859,154000,,859,23644,,859,4032
860,153550,,860,23708,,860,3588
861,154900,,861,23642,,861,3947
862,157000,,862,23651,,862,3573
863,153950,,863,23621,,863,3941
864,155150,,864,23643,,864,3553
865,155450,,865,23669,,865,4133
866,156600,,866,23645,,866,3812
867,155700,,867,23748,,867,3818
868,155750,,868,23687,,868,3992
869,153100,,869,23720,,869,3961
870,160000,,870,23680,,870,3649
871,156900,,871,23688,,871,3809
872,157000,,872,23684,,872,3108
873,153200,,873,23694,,873,3575
874,157300,,874,23715,,874,3705
875,157150,,875,23729,,875,3616
876,155900,,876,23738,,876,3922
877,154750,,877,23754,,877,3854
878,154350,,878,23785,,878,3761
879,156000,,879,23780,,879,3742
880,157400,,880,23772,,880,4179
881,157350,,881,23801,,881,3668
882,156200,,882,23780,,882,4060
883,156550,,883,23793,,883,4251
884,154950,,884,23770,,884,3853
885,155100,,885,23829,,885,3880
886,156400,,886,23829,,886,3649
887,156950,,887,23780,,887,3882
888,158800,,888,23786,,888,3996
889,154100,,889,23831,,889,3772
890,154750,,890,23844,,890,3661
891,157550,,891,23895,,891,3861
892,155350,,892,23871,,892,3671
893,158250,,893,23877,,893,3690
894,160650,,894,23904,,894,3654
895,157400,,895,23953,,895,3520
896,158350,,896,23858,,896,3925
897,156950,,897,23950,,897,3474
898,155050,,898,23916,,898,3414
899,155750,,899,23910,,899,3647
900,156100,,900,23954,,900,3230
901,158550,,901,23938,,901,3327
902,157800,,902,24001,,902,3951
903,158350,,903,23937,,903,3812
904,155550,,904,23946,,904,3173
905,156450,,905,23972,,905,2872
906,155750,,906,23946,,906,3070
907,156200,,907,23923,,907,3594
908,157200,,908,24001,,908,2635
909,157800,,909,24062,,909,3500
910,156050,,910,24034,,910,4074
911,157350,,911,24019,,911,3277
912,157200,,912,23994,,912,3604
913,159900,,913,23939,,913,3553
914,155550,,914,24010,,914,3430
915,157800,,915,24075,,915,3780
916,157950,,916,24092,,916,3942
917,156150,,917,24050,,917,3466
918,157000,,918,23976,,918,4229
919,159150,,919,24062,,919,4155
920,157050,,920,24084,,920,3602
921,154800,,921,24098,,921,3833
922,162250,,922,24096,,922,3850
923,157850,,923,24091,,923,3888
924,157800,,924,24146,,924,4160
925,157100,,925,24174,,925,3798
926,158750,,926,24174,,926,3838
927,156000,,927,24132,,927,4179
928,157000,,928,24120,,928,3719
929,157550,,929,24146,,929,3599
930,155800,,930,24156,,930,3788
931,158600,,931,24175,,931,3911
932,158100,,932,24133,,932,4161
933,156950,,933,24176,,933,3645
934,155200,,934,24182,,934,4380
935,157400,,935,24178,,935,3821
936,160150,,936,24185,,936,4023
937,156650,,937,24210,,937,3456
938,158650,,938,24254,,938,4126
939,158200,,939,24215,,939,4210
940,155000,,940,24257,,940,3381
941,159750,,941,24212,,941,3810
942,159100,,942,24278,,942,3920
943,158000,,943,24213,,943,3779
944,159600,,944,24215,,944,3505
945,159150,,945,24267,,945,4022
946,157150,,946,24196,,946,3874
947,157950,,947,24301,,947,3734
948,159200,,948,24339,,948,3844
949,155600,,949,24368,,949,3882
950,158500,,950,24319,,950,3377
951,157850,,951,24291,,951,3986
952,158550,,952,24337,,952,3691
953,159350,,953,24402,,953,3744
954,156850,,954,24326,,954,4126
955,157900,,955,24349,,955,3439
956,160200,,956,24333,,956,3363
957,159050,,957,24300,,957,3810
958,161250,,958,24346,,958,3315
959,160850,,959,24351,,959,3772
960,158850,,960,24399,,960,4018
961,157000,,961,24351,,961,3412
962,160250,,962,24479,,962,3823
963,159850,,963,24379,,963,3905
964,159950,,964,24374,,964,3732
965,161900,,965,24397,,965,3837
966,160300,,966,24430,,966,3525
967,161450,,967,24435,,967,4054
968,161200,,968,24474,,968,4296
969,160100,,969,24513,,969,3935
970,160500,,970,24463,,970,3997
971,158350,,971,24479,,971,4064
972,160450,,972,24504,,972,4049
973,160950,,973,24511,,973,3828
974,161500,,974,24499,,974,3921
975,157650,,975,24443,,975,3895
976,161950,,976,24450,,976,3546
977,161150,,977,24484,,977,3760
978,159450,,978,24530,,978,4140
979,159400,,979,24540,,979,3546
980,162850,,980,24597,,980,3623
981,162600,,981,24537,,981,4000
982,159950,,982,24538,,982,4044
983,162000,,983,24608,,983,3870
984,161750,,984,24596,,984,3732
985,163850,,985,24563,,985,3655
986,161600,,986,24550,,986,3792
987,160550,,987,24624,,987,3372
988,162250,,988,24567,,988,3779
989,161900,,989,24604,,989,2971
990,162450,,990,24549,,990,3265
991,161300,,991,24604,,991,3803
992,162300,,992,24609,,992,3765
993,163450,,993,24609,,993,3124
994,160600,,994,24578,,994,3329
995,160900,,995,24700,,995,2621
996,161050,,996,24647,,996,4160
997,160850,,997,24647,,997,2782
998,163950,,998,24660,,998,4047
999,162400,,999,24589,,999,3449
1000,161400,,1000,24685,,1000,3553
1001,160600,,1001,24665,,1001,4120
1002,160450,,1002,24641,,1002,3825
1003,164000,,1003,24710,,1003,3286
1004,162950,,1004,24662,,1004,3442
1005,160800,,1005,24699,,1005,3653
1006,163700,,1006,24696,,1006,3930
1007,162800,,1007,24704,,1007,3949
1008,160350,,1008,24757,,1008,3630
1009,163850,,1009,24766,,1009,3817
1010,163550,,1010,24757,,1010,3019
1011,160200,,1011,24698,,1011,3856
1012,162550,,1012,24787,,1012,3660
1013,162300,,1013,24679,,1013,4075
1014,159450,,1014,24773,,1014,3878
1015,161600,,1015,24743,,1015,4001
1016,163000,,1016,24749,,1016,3112
1017,162950,,1017,24754,,1017,3796
1018,161750,,1018,24773,,1018,3185
1019,162500,,1019,24772,,1019,3683
1020,162450,,1020,24793,,1020,4300
1021,159900,,1021,24851,,1021,4068
1022,163950,,1022,24792,,1022,3651
1023,162500,,1023,24800,,1023,3924
1024,162300,,1024,24812,,1024,3549
1025,159450,,1025,24783,,1025,3795
1026,160750,,1026,24796,,1026,4000
1027,163100,,1027,24854,,1027,3412
1028,160700,,1028,24821,,1028,3554
1029,160100,,1029,24862,,1029,3866
1030,161400,,1030,24770,,1030,4096
1031,161400,,1031,24831,,1031,4277
1032,162500,,1032,24864,,1032,3849
1033,160450,,1033,24796,,1033,4220
1034,158900,,1034,24863,,1034,3744
1035,162400,,1035,24913,,1035,4009
1036,161450,,1036,24888,,1036,4011
1037,160350,,1037,24863,,1037,4048
1038,160000,,1038,24926,,1038,3593
1039,164300,,1039,24853,,1039,4196
1040,160000,,1040,24866,,1040,3972
1041,160500,,1041,24841,,1041,4223
1042,159250,,1042,24879,,1042,3979
1043,162300,,1043,24938,,1043,3718
1044,161700,,1044,24871,,1044,3815
1045,162200,,1045,24871,,1045,3856
1046,159850,,1046,24946,,1046,4220
1047,163100,,1047,24934,,1047,3617
1048,160900,,1048,24972,,1048,3772
1049,160350,,1049,25012,,1049,4436
1050,164500,,1050,24949,,1050,4042
1051,163450,,1051,24951,,1051,3656
1052,163650,,1052,24958,,1052,3489
1053,161800,,1053,24955,,1053,3847
1054,162450,,1054,24984,,1054,3693
1055,161550,,1055,25059,,1055,3668
1056,162750,,1056,25001,,1056,3479
1057,161350,,1057,25006,,1057,4192
1058,161000,,1058,24946,,1058,3969
1059,162950,,1059,24983,,1059,3630
1060,159300,,1060,24990,,1060,3667
1061,161450,,1061,25019,,1061,4086
1062,160200,,1062,24976,,1062,3666
1063,160600,,1063,25076,,1063,3654
1064,162750,,1064,25041,,1064,4308
1065,160050,,1065,24964,,1065,3580
1066,164000,,1066,25077,,1066,4164
1067,162550,,1067,25003,,1067,3411
1068,159750,,1068,24988,,1068,4024
1069,161800,,1069,25065,,1069,3785
1070,164450,,1070,25046,,1070,4104
1071,162950,,1071,25016,,1071,3522
1072,162150,,1072,25030,,1072,3938
1073,160650,,1073,25083,,1073,3910
1074,161450,,1074,25079,,1074,4164
1075,160500,,1075,25089,,1075,4479
1076,158900,,1076,25087,,1076,4026
1077,164500,,1077,25048,,1077,3666
1078,162500,,1078,25145,,1078,4019
1079,162300,,1079,25091,,1079,3898
1080,160550,,1080,25083,,1080,3569
1081,162800,,1081,25100,,1081,4199
1082,160850,,1082,25094,,1082,4156
1083,160250,,1083,25124,,1083,3633
1084,162400,,1084,25110,,1084,4082
1085,160800,,1085,25129,,1085,3970
1086,162900,,1086,25165,,1086,4267
1087,161850,,1087,25159,,1087,3900
1088,162350,,1088,25155,,1088,3952
1089,160500,,1089,25128,,1089,4212
1090,159400,,1090,25081,,1090,3670
1091,162200,,1091,25207,,1091,4044
1092,162800,,1092,25105,,1092,3976
1093,160250,,1093,25171,,1093,3959
1094,161900,,1094,25165,,1094,4367
1095,160200,,1095,25199,,1095,4014
1096,161950,,1096,25149,,1096,3870
1097,161700,,1097,25215,,1097,3670
1098,159600,,1098,25189,,1098,3948
1099,160250,,1099,25153,,1099,3971
1100,158850,,1100,25137,,1100,4123
1101,162000,,1101,25168,,1101,4186
1102,161100,,1102,25182,,1102,3960
1103,161550,,1103,25161,,1103,3678
1104,162300,,1104,25180,,1104,3502
1105,160750,,1105,25113,,1105,3842
1106,161800,,1106,25223,,1106,3621
1107,162000,,1107,25189,,1107,3787
1108,162750,,1108,25249,,1108,3821
1109,160400,,1109,25245,,1109,3812
1110,158550,,1110,25289,,1110,3651
1111,160600,,1111,25336,,1111,3761
1112,161150,,1112,25242,,1112,3738
1113,160700,,1113,25296,,1113,3992
1114,162850,,1114,25263,,1114,4234
1115,159450,,1115,25272,,1115,3853
1116,163250,,1116,25262,,1116,4271
1117,163350,,1117,25286,,1117,4182
1118,162350,,1118,25308,,1118,4022
1119,161350,,1119,25317,,1119,4168
1120,161050,,1120,25359,,1120,4370
1121,161500,,1121,25308,,1121,3957
1122,158900,,1122,25310,,1122,4128
1123,161050,,1123,25320,,1123,3877
1124,160600,,1124,25317,,1124,3762
1125,161700,,1125,25292,,1125,3914
1126,165050,,1126,25296,,1126,4379
1127,163250,,1127,25269,,1127,3881
1128,162100,,1128,25342,,1128,3761
1129,162300,,1129,25346,,1129,4030
1130,159550,,1130,25319,,1130,3900
1131,161700,,1131,25371,,1131,4196
1132,161650,,1132,25371,,1132,3984
1133,163050,,1133,25309,,1133,3911
1134,161400,,1134,25320,,1134,3326
1135,159850,,1135,25265,,1135,4018
1136,164650,,1136,25303,,1136,4126
1137,164950,,1137,25354,,1137,4178
1138,162250,,1138,25335,,1138,4141
1139,163600,,1139,25346,,1139,3517
1140,162100,,1140,25371,,1140,3437
1141,162100,,1141,25364,,1141,4157
1142,161500,,1142,25384,,1142,3771
1143,161900,,1143,25315,,1143,3898
1144,163500,,1144,25400,,1144,4225
1145,162800,,1145,25388,,1145,3771
1146,161950,,1146,25413,,1146,4406
1147,161950,,1147,25466,,1147,4260
1148,162500,,1148,25452,,1148,3775
1149,162700,,1149,25462,,1149,3752
1150,160950,,1150,25407,,1150,3766
1151,162850,,1151,25463,,1151,3660
1152,164050,,1152,25395,,1152,3928
1153,161400,,1153,25434,,1153,3829
1154,162500,,1154,25436,,1154,4296
1155,164450,,1155,25458,,1155,4174
1156,161200,,1156,25447,,1156,3951
1157,163650,,1157,25411,,1157,3544
1158,163500,,1158,25430,,1158,4182
1159,160950,,1159,25446,,1159,4234
1160,161900,,1160,25432,,1160,3807
1161,163550,,1161,25441,,1161,3420
1162,165500,,1162,25486,,1162,4102
1163,162900,,1163,25411,,1163,3808
1164,164500,,1164,25536,,1164,3879
1165,166100,,1165,25474,,1165,4113
1166,165800,,1166,25505,,1166,3893
1167,162750,,1167,25476,,1167,3858
1168,162600,,1168,25446,,1168,4006
1169,164350,,1169,25466,,1169,4390
1170,164150,,1170,25506,,1170,4113
1171,163300,,1171,25492,,1171,3449
1172,163050,,1172,25524,,1172,4111
1173,160350,,1173,25525,,1173,3818
1174,162800,,1174,25504,,1174,3580
1175,160200,,1175,25536,,1175,3884
1176,164000,,1176,25506,,1176,4175
1177,166850,,1177,25507,,1177,3961
1178,164000,,1178,25537,,1178,3586
1179,165350,,1179,25481,,1179,3734
1180,163200,,1180,25581,,1180,4029
1181,163450,,1181,25548,,1181,3720
1182,163500,,1182,25552,,1182,4012
1183,164350,,1183,25528,,1183,3887
1184,164450,,1184,25497,,1184,3560
1185,161400,,1185,25571,,1185,4200
1186,164100,,1186,25595,,1186,3917
1187,164450,,1187,25541,,1187,3990
1188,161000,,1188,25518,,1188,4135
1189,164450,,1189,25580,,1189,4253
1190,164700,,1190,25572,,1190,4108
1191,163150,,1191,25564,,1191,4056
1192,164200,,1192,25606,,1192,4117
1193,160750,,1193,25587,,1193,4076
1194,164550,,1194,25598,,1194,3696
1195,163600,,1195,25596,,1195,3978
1196,166700,,1196,25572,,1196,4092
1197,163250,,1197,25638,,1197,4376
1198,163400,,1198,25663,,1198,4305
1199,164300,,1199,25616,,1199,3961
1200,165250,,1200,25642,,1200,4253
1201,164100,,1201,25556,,1201,4168
1202,164350,,1202,25654,,1202,3988
1203,165550,,1203,25679,,1203,4418
1204,162200,,1204,25688,,1204,4229
1205,164400,,1205,25679,,1205,3730
1206,164200,,1206,25654,,1206,4190
1207,162600,,1207,25666,,1207,4620
1208,163650,,1208,25666,,1208,4305
1209,162850,,1209,25653,,1209,3965
1210,164450,,1210,25671,,1210,4562
1211,164100,,1211,25646,,1211,4361
1212,163600,,1212,25666,,1212,3738
1213,162850,,1213,25652,,1213,3906
1214,162350,,1214,25607,,1214,4377
1215,162700,,1215,25640,,1215,4576
1216,162100,,1216,25705,,1216,4448
1217,166600,,1217,25704,,1217,4243
1218,163200,,1218,25647,,1218,3818
1219,162550,,1219,25735,,1219,4386
1220,165650,,1220,25738,,1220,3362
1221,165150,,1221,25742,,1221,4051
1222,164850,,1222,25721,,1222,4175
1223,163650,,1223,25643,,1223,4212
1224,163500,,1224,25709,,1224,4204
1225,165950,,1225,25750,,1225,3972
1226,167250,,1226,25734,,1226,3445
1227,166500,,1227,25717,,1227,3419
1228,165800,,1228,25744,,1228,4369
1229,167200,,1229,25738,,1229,4346
1230,165550,,1230,25727,,1230,4195
1231,167350,,1231,25766,,1231,3520
1232,166050,,1232,25772,,1232,4798
1233,164600,,1233,25787,,1233,4347
1234,163350,,1234,25801,,1234,4092
1235,164350,,1235,25794,,1235,4130
1236,166800,,1236,25760,,1236,4271
1237,165000,,1237,25725,,1237,3954
1238,161900,,1238,25757,,1238,3792
1239,162600,,1239,25784,,1239,3915
1240,164400,,1240,25826,,1240,3997
1241,161600,,1241,25854,,1241,3820
1242,161800,,1242,25831,,1242,4087
1243,163650,,1243,25793,,1243,4070
1244,166900,,1244,25832,,1244,3773
1245,166250,,1245,25822,,1245,3370
1246,164700,,1246,25801,,1246,4335
1247,164000,,1247,25821,,1247,3931
1248,167000,,1248,25759,,1248,3363
1249,165300,,1249,25815,,1249,3799
1250,165800,,1250,25822,,1250,3809
1251,164800,,1251,25830,,1251,3995
1252,162900,,1252,25798,,1252,3533
1253,161900,,1253,25824,,1253,4296
1254,167700,,1254,25846,,1254,3867
1255,167700,,1255,25778,,1255,4009
1256,164600,,1256,25829,,1256,3752
1257,164750,,1257,25874,,1257,3614
1258,162750,,1258,25877,,1258,3738
1259,165750,,1259,25875,,1259,4065
1260,162650,,1260,25846,,1260,3644
1261,164400,,1261,25935,,1261,4497
1262,165900,,1262,25904,,1262,3981
1263,166600,,1263,25884,,1263,3656
1264,163350,,1264,25954,,1264,4314
1265,166500,,1265,25929,,1265,3954
1266,165800,,1266,25874,,1266,3994
1267,165450,,1267,25898,,1267,3562
1268,165600,,1268,25898,,1268,3628
1269,164800,,1269,25921,,1269,4590
1270,164500,,1270,25855,,1270,4264
1271,167850,,1271,25856,,1271,3813
1272,165300,,1272,25870,,1272,3634
1273,164300,,1273,25920,,1273,4053
1274,166900,,1274,25860,,1274,3777
1275,163800,,1275,25829,,1275,4031
1276,165200,,1276,25941,,1276,4093
1277,165950,,1277,25918,,1277,3861
1278,167150,,1278,25940,,1278,4542
1279,164600,,1279,25944,,1279,4152
1280,163150,,1280,25893,,1280,4053
1281,165250,,1281,25933,,1281,4244
1282,164900,,1282,25890,,1282,4160
1283,161150,,1283,25909,,1283,3889
1284,164150,,1284,25963,,1284,3850
1285,165450,,1285,26016,,1285,3531
1286,166250,,1286,25961,,1286,3927
1287,164650,,1287,25960,,1287,4313
1288,166050,,1288,25994,,1288,4010
1289,164950,,1289,25982,,1289,4317
1290,163550,,1290,25986,,1290,3944
1291,166000,,1291,25945,,1291,3732
1292,164900,,1292,25958,,1292,3983
1293,165500,,1293,26025,,1293,3365
1294,166250,,1294,25968,,1294,3954
1295,167950,,1295,25995,,1295,4098
1296,165100,,1296,25977,,1296,4258
1297,165350,,1297,26015,,1297,3850
1298,167650,,1298,25976,,1298,3972
1299,166450,,1299,25954,,1299,3924
1300,164700,,1300,25946,,1300,3842
1301,165200,,1301,25979,,1301,3706
1302,166400,,1302,26055,,1302,4171
1303,166550,,1303,25965,,1303,3979
1304,164650,,1304,26032,,1304,3419
1305,167150,,1305,25992,,1305,3851
1306,167550,,1306,25979,,1306,3778
1307,164700,,1307,25988,,1307,3814
1308,166100,,1308,26062,,1308,3956
1309,168500,,1309,26046,,1309,4308
1310,166400,,1310,26015,,1310,3848
1311,165100,,1311,26014,,1311,4494
1312,167300,,1312,26068,,1312,4159
1313,166200,,1313,26108,,1313,3846
1314,167700,,1314,26038,,1314,4100
1315,168000,,1315,26045,,1315,4218
1316,166750,,1316,26113,,1316,3875
1317,168850,,1317,26021,,1317,4155
1318,166050,,1318,26012,,1318,4642
1319,165900,,1319,26033,,1319,4228
1320,168700,,1320,26120,,1320,4207
1321,169400,,1321,26117,,1321,3866
1322,166300,,1322,26152,,1322,4256
1323,167500,,1323,26058,,1323,4202
1324,167200,,1324,26096,,1324,3819
1325,166900,,1325,26148,,1325,4160
1326,167200,,1326,26139,,1326,4312
1327,168350,,1327,26043,,1327,3660
1328,168200,,1328,26056,,1328,4124
1329,165950,,1329,26146,,1329,3708
1330,167850,,1330,26079,,1330,3887
1331,166600,,1331,26173,,1331,4349
1332,166850,,1332,26082,,1332,3775
1333,167250,,1333,26069,,1333,3792
1334,167800,,1334,26074,,1334,3833
1335,167700,,1335,26204,,1335,4032
1336,167450,,1336,26147,,1336,4057
1337,166200,,1337,26151,,1337,3819
1338,168650,,1338,26042,,1338,3896
1339,168650,,1339,26203,,1339,4219
1340,170250,,1340,26115,,1340,3985
1341,166450,,1341,26138,,1341,3966
1342,165900,,1342,26195,,1342,4073
1343,167550,,1343,26168,,1343,3942
1344,166450,,1344,26154,,1344,4030
1345,168400,,1345,26096,,1345,4129
1346,166750,,1346,26114,,1346,4242
1347,165800,,1347,26201,,1347,4034
1348,167550,,1348,26169,,1348,4213
1349,167300,,1349,26138,,1349,3663
1350,168700,,1350,26148,,1350,4076
1351,168600,,1351,26218,,1351,4712
1352,167950,,1352,26112,,1352,4207
1353,167550,,1353,26173,,1353,4488
1354,166650,,1354,26194,,1354,4116
1355,166150,,1355,26166,,1355,4593
1356,163400,,1356,26216,,1356,4227
1357,169700,,1357,26174,,1357,4256
1358,166000,,1358,26182,,1358,4297
1359,168550,,1359,26223,,1359,4415
1360,169000,,1360,26146,,1360,4188
1361,166850,,1361,26255,,1361,4321
1362,167600,,1362,26205,,1362,3902
1363,167900,,1363,26201,,1363,4468
1364,166000,,1364,26249,,1364,4018
1365,165550,,1365,26216,,1365,3465
1366,167300,,1366,26196,,1366,3741
1367,168350,,1367,26205,,1367,4101
1368,168300,,1368,26178,,1368,3696
1369,170000,,1369,26192,,1369,4162
1370,169200,,1370,26238,,1370,3934
1371,168050,,1371,26162,,1371,4526
1372,167800,,1372,26192,,1372,4167
1373,168300,,1373,26261,,1373,3864
1374,168300,,1374,26213,,1374,4232
1375,168350,,1375,26202,,1375,4119
1376,169950,,1376,26199,,1376,4520
1377,168200,,1377,26180,,1377,4175
1378,168750,,1378,26279,,1378,3937
1379,166850,,1379,26303,,1379,4130
1380,167050,,1380,26238,,1380,4310
1381,167500,,1381,26296,,1381,3715
1382,167050,,1382,26230,,1382,4471
1383,167200,,1383,26181,,1383,3977
1384,169300,,1384,26246,,1384,4131
1385,167350,,1385,26227,,1385,3921
1386,166900,,1386,26241,,1386,4388
1387,167500,,1387,26238,,1387,3767
1388,169300,,1388,26215,,1388,4527
1389,169500,,1389,26236,,1389,4388
1390,165000,,1390,26171,,1390,3751
1391,167050,,1391,26238,,1391,4037
1392,169200,,1392,26211,,1392,3484
1393,169150,,1393,26248,,1393,3939
1394,168450,,1394,26187,,1394,4109
1395,167750,,1395,26242,,1395,4100
1396,168800,,1396,26237,,1396,4208
1397,166050,,1397,26246,,1397,4096
1398,166850,,1398,26232,,1398,3912
1399,166700,,1399,26251,,1399,4077
1400,167300,,1400,26230,,1400,4368
1401,164450,,1401,26183,,1401,4024
1402,167750,,1402,26170,,1402,4324
1403,168500,,1403,26239,,1403,3758
1404,169550,,1404,26342,,1404,3669
1405,164500,,1405,26296,,1405,4244
1406,168550,,1406,26307,,1406,3825
1407,165700,,1407,26333,,1407,4042
1408,167000,,1408,26313,,1408,4362
1409,167400,,1409,26338,,1409,4371
1410,167750,,1410,26254,,1410,4342
1411,167150,,1411,26271,,1411,3723
1412,169000,,1412,26298,,1412,3935
1413,165250,,1413,26318,,1413,4107
1414,167700,,1414,26292,,1414,3640
1415,167000,,1415,26354,,1415,3800
1416,164150,,1416,26306,,1416,3911
1417,168600,,1417,26257,,1417,4388
1418,168150,,1418,26279,,1418,4486
1419,167800,,1419,26291,,1419,4575
1420,165650,,1420,26292,,1420,3811
1421,165750,,1421,26275,,1421,4096
1422,167700,,1422,26304,,1422,4099
1423,167850,,1423,26276,,1423,3977
1424,165750,,1424,26335,,1424,3893
1425,166700,,1425,26339,,1425,4154
1426,169100,,1426,26360,,1426,3860
1427,163850,,1427,26293,,1427,3909
1428,166900,,1428,26317,,1428,4072
1429,171100,,1429,26357,,1429,4101
1430,166950,,1430,26383,,1430,3781
1431,166000,,1431,26326,,1431,3961
1432,165900,,1432,26374,,1432,3987
1433,167000,,1433,26326,,1433,4441
1434,169400,,1434,26283,,1434,4068
1435,166000,,1435,26318,,1435,3700
1436,166200,,1436,26317,,1436,4426
1437,166150,,1437,26314,,1437,4178
1438,168050,,1438,26367,,1438,3998
1439,168900,,1439,26338,,1439,4544
1440,167000,,1440,26324,,1440,3924
1441,168050,,1441,26296,,1441,4086
1442,166900,,1442,26331,,1442,3904
1443,166750,,1443,26334,,1443,3740
1444,168100,,1444,26295,,1444,4146
1445,167850,,1445,26348,,1445,4231
1446,167300,,1446,26307,,1446,4190
1447,167150,,1447,26328,,1447,3478
1448,165900,,1448,26358,,1448,4106
1449,169150,,1449,26267,,1449,4643
1450,166050,,1450,26329,,1450,4599
1451,166000,,1451,26348,,1451,4076
1452,165850,,1452,26321,,1452,4217
1453,166900,,1453,26322,,1453,4046
1454,164850,,1454,26402,,1454,4622
1455,165800,,1455,26373,,1455,3635
1456,167500,,1456,26395,,1456,4267
1457,167600,,1457,26394,,1457,4092
1458,166050,,1458,26372,,1458,4151
1459,166600,,1459,26403,,1459,4216
1460,164500,,1460,26288,,1460,4245
1461,165900,,1461,26247,,1461,3965
1462,166950,,1462,26316,,1462,4872
1463,166150,,1463,26332,,1463,4361
1464,168350,,1464,26263,,1464,4411
1465,168800,,1465,26264,,1465,3998
1466,167150,,1466,26390,,1466,3397
1467,166950,,1467,26339,,1467,4168
1468,169300,,1468,26393,,1468,4275
1469,167050,,1469,26352,,1469,4257
1470,169350,,1470,26368,,1470,3827
1471,169600,,1471,26369,,1471,3959
1472,166750,,1472,26334,,1472,4137
1473,167850,,1473,26350,,1473,4146
1474,166550,,1474,26332,,1474,4375
1475,167000,,1475,26313,,1475,3954
1476,166050,,1476,26405,,1476,4042
1477,167050,,1477,26393,,1477,4153
1478,167150,,1478,26340,,1478,4698
1479,167550,,1479,26395,,1479,3740
1480,167350,,1480,26346,,1480,4141
1481,168150,,1481,26376,,1481,4045
1482,167150,,1482,26404,,1482,3491
1483,164850,,1483,26398,,1483,4336
1484,167600,,1484,26330,,1484,3920
1485,166350,,1485,26404,,1485,4132
1486,162500,,1486,26392,,1486,4447
1487,164000,,1487,26387,,1487,4275
1488,163350,,1488,26396,,1488,3952
1489,164600,,1489,26361,,1489,5386
1490,168700,,1490,26330,,1490,4766
1491,167950,,1491,26338,,1491,4553
1492,166100,,1492,26350,,1492,4289
1493,169250,,1493,26418,,1493,3919
1494,166600,,1494,26392,,1494,3906
1495,166650,,1495,26420,,1495,3982
1496,166650,,1496,26372,,1496,4662
1497,168700,,1497,26383,,1497,4175
1498,166650,,1498,26346,,1498,3602
1499,168200,,1499,26518,,1499,4786
1500,168500,,1500,26438,,1500,4001
1501,169550,,1501,26321,,1501,4177
1502,167600,,1502,26373,,1502,4057
1503,165950,,1503,26417,,1503,4175
1504,170200,,1504,26392,,1504,4252
1505,165900,,1505,26339,,1505,4236
1506,166400,,1506,26353,,1506,3684
1507,167500,,1507,26414,,1507,4180
1508,166150,,1508,26421,,1508,4202
1509,165300,,1509,26372,,1509,3996
1510,165800,,1510,26403,,1510,4103
1511,167000,,1511,26406,,1511,4099
1512,168550,,1512,26349,,1512,4466
1513,167150,,1513,26443,,1513,4127
1514,166850,,1514,26423,,1514,4056
1515,167650,,1515,26328,,1515,4592
1516,164550,,1516,26391,,1516,4533
1517,166600,,1517,26378,,1517,4067
1518,165900,,1518,26455,,1518,4264
1519,167650,,1519,26418,,1519,4538
1520,166300,,1520,26366,,1520,4453
1521,168100,,1521,26349,,1521,4120
1522,165800,,1522,26419,,1522,4045
1523,167800,,1523,26389,,1523,4388
1524,167950,,1524,26389,,1524,4134
1525,167450,,1525,26433,,1525,3890
1526,168400,,1526,26448,,1526,4314
1527,165800,,1527,26396,,1527,3792
1528,170650,,1528,26387,,1528,3805
1529,166050,,1529,26485,,1529,4331
1530,167800,,1530,26435,,1530,4911
1531,166300,,1531,26415,,1531,4774
1532,165650,,1532,26439,,1532,4029
1533,165250,,1533,26459,,1533,4573
1534,165200,,1534,26484,,1534,3955
1535,168800,,1535,26413,,1535,3837
1536,166950,,1536,26450,,1536,4048
1537,167300,,1537,26464,,1537,3931
1538,168650,,1538,26452,,1538,4210
