time (s),NADH,,time (s),DiOC2(3),,time (s),PBFI
186,147900,,186,16874,,186,1797
187,149200,,187,16831,,187,1954
188,148900,,188,16863,,188,2505
189,146850,,189,16849,,189,1906
190,153650,,190,16859,,190,1613
191,159500,,191,16919,,191,1836
192,160950,,192,16864,,192,1977
193,164700,,193,16935,,193,1505
194,167300,,194,16971,,194,1537
195,169250,,195,16915,,195,1417
196,172350,,196,16934,,196,1212
197,169650,,197,16949,,197,2100
198,172950,,198,16955,,198,2137
199,174900,,199,16951,,199,1538
200,178450,,200,16980,,200,1414
201,176950,,201,16990,,201,2069
202,177550,,202,16988,,202,2189
203,182100,,203,16988,,203,1670
204,180000,,204,16979,,204,2021
205,180600,,205,17031,,205,1800
206,185200,,206,17021,,206,2490
207,183050,,207,16992,,207,2195
208,183100,,208,17019,,208,1655
209,184950,,209,17068,,209,1659
210,184000,,210,17094,,210,2257
211,184600,,211,17102,,211,2462
212,183700,,212,17097,,212,2493
213,186200,,213,17116,,213,2838
214,183350,,214,17084,,214,1957
215,186300,,215,17104,,215,2191
216,184850,,216,17129,,216,2111
217,186350,,217,17133,,217,1366
218,183050,,218,17147,,218,1834
219,187050,,219,17132,,219,2973
220,183450,,220,17146,,220,1929
221,183350,,221,17132,,221,2089
222,183050,,222,17134,,222,2430
223,182900,,223,17224,,223,2048
224,184650,,224,17145,,224,2551
225,183600,,225,17221,,225,2008
226,182300,,226,17164,,226,2025
227,183500,,227,17246,,227,2769
228,179400,,228,17184,,228,2444
229,181000,,229,17244,,229,3406
230,180650,,230,17246,,230,2787
231,180750,,231,17263,,231,2517
232,177450,,232,17227,,232,2554
233,179750,,233,17245,,233,2630
234,180600,,234,17244,,234,2938
235,177600,,235,17200,,235,2356
236,180050,,236,17263,,236,2580
237,179150,,237,17276,,237,3154
238,178350,,238,17210,,238,2911
239,177400,,239,17285,,239,
240,176000,,240,17338,,240,
241,176900,,241,17360,,241,
242,175750,,242,17413,,242,3390
243,179100,,243,17441,,243,3785
244,177250,,244,17345,,244,1869
245,178300,,245,17275,,245,2701
246,177350,,246,17288,,246,2763
247,175850,,247,17183,,247,2656
248,177400,,248,17204,,248,2527
249,173450,,249,17179,,249,2701
250,178800,,250,17203,,250,2195
251,184200,,251,17102,,251,2634
252,179750,,252,17151,,252,3356
253,177750,,253,17226,,253,2658
254,179350,,254,17246,,254,3018
255,181050,,255,17215,,255,2383
256,179100,,256,17147,,256,2621
257,177550,,257,17196,,257,2992
258,180200,,258,17285,,258,2458
259,180800,,259,17301,,259,2685
260,183900,,260,17270,,260,2762
261,180950,,261,17300,,261,3003
262,181100,,262,17330,,262,2949
263,180600,,263,17333,,263,3145
264,181600,,264,17356,,264,2611
265,179350,,265,17350,,265,3142
266,180000,,266,17242,,266,3249
267,180950,,267,17327,,267,2784
