,"""-nigericin""",,,"""+nicericin"""
time (s),NADH,,time (s),NADH
1218,164056,,1218,146397
1219,164299,,1219,147881
1220,164502,,1220,146495
1221,164133,,1221,146890
1222,164935,,1222,146268
1223,164063,,1223,146043
1224,164712,,1224,146725
1225,164441,,1225,145401
1226,165102,,1226,145434
1227,163635,,1227,146619
1228,163890,,1228,146384
1229,164529,,1229,146063
1230,164182,,1230,145770
1231,165175,,1231,146365
1232,164946,,1232,146416
1233,164356,,1233,146497
1234,164405,,1234,147242
1235,164696,,1235,146948
1236,164470,,1236,147055
1237,164617,,1237,146833
1238,164448,,1238,146525
1239,164820,,1239,147889
1240,163984,,1240,148217
1241,164385,,1241,147801
1242,163014,,1242,149396
1243,165372,,1243,148653
1244,165139,,1244,148769
1245,163777,,1245,148416
1246,164680,,1246,149112
1247,164085,,1247,148893
1248,163641,,1248,149457
1249,164785,,1249,148656
1250,163987,,1250,148002
1251,165077,,1251,148511
1252,164216,,1252,147512
1253,163569,,1253,147110
1254,164883,,1254,148089
1255,164316,,1255,147803
1256,165283,,1256,147122
1257,164830,,1257,146776
1258,164015,,1258,147089
1259,164507,,1259,147162
1260,163532,,1260,146328
1261,164438,,1261,147213
1262,164377,,1262,146674
1263,164636,,1263,146044
1264,164362,,1264,146529
1265,164387,,1265,146814
1266,164508,,1266,146555
1267,165238,,1267,146383
1268,164512,,1268,146478
1269,164209,,1269,146697
1270,165031,,1270,147784
1271,164926,,1271,146685
1272,164185,,1272,147511
1273,165073,,1273,148011
1274,163777,,1274,147805
1275,163831,,1275,147742
1276,165012,,1276,148568
1277,164778,,1277,147788
1278,164422,,1278,148903
1279,164947,,1279,148003
1280,164847,,1280,148988
1281,164909,,1281,147935
1282,165341,,1282,148551
1283,164588,,1283,148856
1284,164575,,1284,148294
1285,164124,,1285,149420
1286,164428,,1286,149061
1287,165203,,1287,149161
1288,164515,,1288,148861
1289,166012,,1289,148677
1290,164456,,1290,148819
1291,164374,,1291,148480
1292,164971,,1292,148071
1293,164681,,1293,148747
1294,164644,,1294,148158
1295,165186,,1295,147394
1296,165465,,1296,147540
1297,164229,,1297,147520
1298,165387,,1298,147560
1299,164408,,1299,147355
1300,164492,,1300,147145
1301,165575,,1301,146391
1302,164745,,1302,146727
1303,164246,,1303,146525
1304,165504,,1304,147032
1305,166438,,1305,147180
1306,165106,,1306,146507
1307,164720,,1307,147280
1308,165519,,1308,147012
1309,164680,,1309,148316
1310,166252,,1310,146847
1311,165629,,1311,148038
1312,166122,,1312,147864
1313,165274,,1313,147955
1314,164965,,1314,148077
1315,164714,,1315,147861
1316,165487,,1316,148560
1317,166343,,1317,148549
1318,165176,,1318,148401
1319,164868,,1319,149292
1320,165037,,1320,148512
1321,164968,,1321,149880
1322,166014,,1322,149246
1323,165205,,1323,149162
1324,165477,,1324,149191
1325,165357,,1325,148915
1326,165397,,1326,149413
1327,165719,,1327,148547
1328,165994,,1328,148792
1329,165362,,1329,149086
1330,166514,,1330,149455
1331,164953,,1331,147989
1332,165575,,1332,148804
1333,165432,,1333,148659
1334,165990,,1334,147786
1335,165136,,1335,147722
1336,165308,,1336,148277
1337,164482,,1337,147813
1338,165065,,1338,147100
1339,165254,,1339,147483
1340,165619,,1340,147259
1341,166272,,1341,147083
1342,167107,,1342,147244
1343,165881,,1343,147058
1344,166085,,1344,148378
1345,165282,,1345,148333
1346,164659,,1346,147505
1347,165921,,1347,147550
1348,166488,,1348,148506
1349,165568,,1349,147237
1350,166245,,1350,147353
1351,165866,,1351,148999
1352,165133,,1352,148255
1353,164734,,1353,149068
1354,165887,,1354,148541
1355,165397,,1355,149039
1356,166274,,1356,149358
1357,166529,,1357,150204
1358,165890,,1358,149693
1359,167194,,1359,149822
1360,166037,,1360,149369
1361,166725,,1361,149288
1362,166004,,1362,149162
1363,166829,,1363,148417
1364,164701,,1364,149232
1365,166864,,1365,149189
1366,165530,,1366,149116
1367,165201,,1367,149060
1368,166092,,1368,149273
1369,166495,,1369,148753
1370,166778,,1370,148719
1371,166382,,1371,148512
1372,165628,,1372,149295
1373,165922,,1373,147767
1374,164161,,1374,147743
1375,165990,,1375,148298
1376,165438,,1376,148066
1377,166530,,1377,147028
1378,166257,,1378,147667
1379,165123,,1379,147707
1380,165894,,1380,147779
1381,165040,,1381,148075
1382,166779,,1382,147958
1383,166015,,1383,148015
1384,165688,,1384,147856
1385,166327,,1385,147027
1386,165412,,1386,147661
1387,165576,,1387,148270
1388,165467,,1388,147616
1389,166919,,1389,148363
1390,166838,,1390,148855
1391,166769,,1391,148335
1392,166092,,1392,148544
1393,166103,,1393,148961
1394,165620,,1394,148134
1395,166410,,1395,149566
1396,166604,,1396,149045
1397,166840,,1397,149527
1398,166331,,1398,149922
1399,167048,,1399,149893
1400,166950,,1400,150443
1401,167711,,1401,149553
1402,166620,,1402,150322
1403,165972,,1403,149888
1404,166367,,1404,150478
1405,166922,,1405,149237
1406,166565,,1406,149492
1407,166521,,1407,149107
1408,165506,,1408,149222
1409,167623,,1409,149266
1410,166176,,1410,149453
1411,166736,,1411,148638
1412,166284,,1412,148879
1413,166219,,1413,149434
1414,166594,,1414,148696
1415,165799,,1415,148134
1416,166234,,1416,148435
1417,167536,,1417,147980
1418,167304,,1418,148532
1419,166171,,1419,148371
1420,166593,,1420,147733
1421,166584,,1421,148275
1422,165725,,1422,148332
1423,167189,,1423,148736
1424,166145,,1424,148818
1425,167283,,1425,148281
1426,166911,,1426,148889
1427,166623,,1427,149292
1428,167122,,1428,148904
1429,167311,,1429,148362
1430,167077,,1430,149806
1431,167208,,1431,149669
1432,167050,,1432,149810
1433,167538,,1433,149734
1434,166718,,1434,149347
1435,166520,,1435,149347
1436,167216,,1436,150172
1437,167148,,1437,150416
1438,167289,,1438,149403
1439,166899,,1439,150252
1440,167241,,1440,151028
1441,167861,,1441,149710
1442,168001,,1442,150810
1443,167171,,1443,150438
1444,166721,,1444,150038
1445,166886,,1445,150331
1446,167039,,1446,150380
1447,167315,,1447,149486
1448,166973,,1448,150404
1449,166527,,1449,150383
1450,168026,,1450,150105
1451,167967,,1451,149444
1452,167643,,1452,148904
1453,167880,,1453,149714
1454,167627,,1454,149227
1455,168084,,1455,148530
1456,166798,,1456,149632
1457,167806,,1457,149026
1458,168062,,1458,148900
1459,166930,,1459,148821
1460,167101,,1460,148456
1461,168237,,1461,149205
1462,169320,,1462,149276
1463,167350,,1463,149302
1464,167370,,1464,149698
1465,167778,,1465,149461
1466,167949,,1466,148838
1467,168372,,1467,149245
1468,169794,,1468,149641
1469,168916,,1469,150530
1470,168464,,1470,149495
1471,169056,,1471,150079
1472,169000,,1472,150653
1473,168789,,1473,150043
1474,168124,,1474,150493
1475,168001,,1475,150204
1476,168658,,1476,151001
1477,169171,,1477,150662
1478,168959,,1478,150304
1479,168213,,1479,151201
1480,168538,,1480,150003
1481,168681,,1481,151014
1482,168626,,1482,150553
1483,168357,,1483,150435
1484,168730,,1484,150523
1485,168942,,1485,149197
1486,168045,,1486,149369
1487,169001,,1487,150292
1488,169439,,1488,149843
1489,168783,,1489,149811
1490,168601,,1490,148934
1491,169285,,1491,149971
1492,168355,,1492,149490
1493,168948,,1493,149040
1494,168576,,1494,150093
1495,169174,,1495,149589
1496,168646,,1496,148599
1497,168660,,1497,148714
1498,168241,,1498,149137
1499,169346,,1499,149950
1500,168077,,1500,150268
1501,168675,,1501,149011
1502,169823,,1502,149531
1503,169232,,1503,149734
1504,169480,,1504,149391
1505,169286,,1505,150258
1506,168994,,1506,150227
1507,169715,,1507,150162
1508,169129,,1508,150612
1509,169806,,1509,150190
1510,170335,,1510,151164
1511,169563,,1511,151584
1512,169952,,1512,151240
1513,169334,,1513,151460
1514,169287,,1514,150596
1515,169489,,1515,151088
1516,169644,,1516,150501
1517,170294,,1517,151899
1518,169864,,1518,151705
1519,169303,,1519,150830
1520,169326,,1520,150542
1521,169438,,1521,151326
1522,168688,,1522,151557
1523,169172,,1523,151972
1524,169744,,1524,151014
1525,169829,,1525,151086
1526,169769,,1526,150939
1527,169547,,1527,150956
1528,170212,,1528,150566
1529,169468,,1529,151507
1530,169353,,1530,151022
1531,169026,,1531,150279
1532,170335,,1532,150347
1533,169850,,1533,150401
1534,169846,,1534,150706
1535,169692,,1535,151259
1536,169978,,1536,150540
1537,169541,,1537,150521
1538,170486,,1538,150167
1539,170513,,1539,150070
1540,169313,,1540,150691
1541,169705,,1541,151115
1542,169290,,1542,150856
1543,170086,,1543,151678
1544,170103,,1544,151424
1545,170650,,1545,150779
1546,169116,,1546,152170
1547,169517,,1547,151505
1548,170780,,1548,151517
1549,170161,,1549,151721
1550,170532,,1550,151536
1551,170365,,1551,152113
1552,169678,,1552,151715
1553,170509,,1553,152184
1554,169846,,1554,151546
1555,170584,,1555,152720
1556,170627,,1556,152288
1557,170521,,1557,152290
1558,171657,,1558,152682
1559,170577,,1559,151966
1560,170587,,1560,151745
1561,171998,,1561,152210
1562,170959,,1562,152355
1563,170471,,1563,152251
1564,170631,,1564,153034
1565,172116,,1565,151807
1566,170901,,1566,151229
1567,171356,,1567,150782
1568,170343,,1568,151917
1569,170789,,1569,151900
1570,170970,,1570,151025
1571,171583,,1571,150922
1572,171656,,1572,151219
1573,171640,,1573,151586
1574,171179,,1574,151220
1575,170573,,1575,151580
1576,171786,,1576,151218
1577,172525,,1577,152119
1578,171865,,1578,151437
1579,172259,,1579,151404
1580,171672,,1580,151551
1581,172058,,1581,152221
1582,171985,,1582,151903
1583,171166,,1583,152694
1584,173053,,1584,152609
1585,171324,,1585,152492
1586,170579,,1586,151792
1587,172345,,1587,152498
1588,172099,,1588,152473
1589,173413,,1589,151677
1590,172023,,1590,152148
1591,171859,,1591,152244
1592,171863,,1592,153012
1593,172101,,1593,152892
1594,171889,,1594,152750
1595,172154,,1595,153477
1596,173133,,1596,152911
1597,171647,,1597,153275
1598,172779,,1598,151885
1599,172609,,1599,152335
1600,172130,,1600,153327
