,"""-nigericin""",,,"""+nicericin"""
time (s),NADH,,time (s),NADH
287,150765,,287,129550
288,151111,,288,130171
289,152159,,289,130446
290,152959,,290,130575
291,152946,,291,131615
292,152069,,292,130771
293,152063,,293,131699
294,152482,,294,131320
295,152923,,295,131177
296,153117,,296,132494
297,153902,,297,131485
298,154017,,298,133165
299,154881,,299,131748
300,154655,,300,131677
301,154387,,301,132326
302,154639,,302,132446
303,155121,,303,133339
304,155017,,304,132901
305,154161,,305,132708
306,154621,,306,132994
307,155003,,307,132301
308,154040,,308,133453
309,155535,,309,133284
310,154822,,310,133066
311,155299,,311,133286
312,155549,,312,133737
313,156207,,313,132877
314,156189,,314,134855
315,156371,,315,135014
316,156074,,316,134756
317,155215,,317,136043
318,154665,,318,135167
319,155512,,319,136395
320,156172,,320,136259
321,155819,,321,136760
322,156405,,322,137677
323,155683,,323,137421
324,156369,,324,137845
325,156626,,325,138447
326,156808,,326,138057
327,156918,,327,138639
328,158081,,328,138584
329,156951,,329,138628
330,156398,,330,139170
331,156129,,331,138248
332,156303,,332,138840
333,156236,,333,139052
334,156424,,334,137950
335,155977,,335,138541
336,156979,,336,138732
337,155716,,337,138841
338,155908,,338,138464
339,156698,,339,138045
340,156344,,340,138080
341,155242,,341,138714
342,155538,,342,138132
343,155480,,343,137913
344,154483,,344,137394
345,155385,,345,137853
346,155059,,346,138485
347,155547,,347,138088
348,154073,,348,139089
349,154290,,349,139458
350,154658,,350,139646
351,155374,,351,139774
352,154566,,352,139362
353,154668,,353,139243
354,154079,,354,139401
355,154978,,355,139965
356,154595,,356,139945
357,154606,,357,140043
358,155134,,358,140436
359,154334,,359,140187
360,155448,,360,139913
361,155563,,361,140477
362,155011,,362,139923
363,155045,,363,140371
364,155206,,364,140217
365,155205,,365,139424
366,155207,,366,139040
367,155707,,367,139236
368,154684,,368,139495
369,156431,,369,138006
370,155965,,370,138126
371,155688,,371,137603
372,154662,,372,137205
373,154462,,373,137151
374,155133,,374,136612
375,154482,,375,137371
376,154187,,376,137083
377,154569,,377,136674
378,155836,,378,136512
379,154631,,379,136768
380,154622,,380,136792
381,153578,,381,136676
382,154632,,382,136590
383,154040,,383,137203
384,154268,,384,137427
385,154151,,385,137647
386,153724,,386,137724
387,154577,,387,137918
388,153968,,388,138572
389,153538,,389,138995
390,153755,,390,138823
391,154036,,391,139556
392,153978,,392,139279
393,154167,,393,138801
394,155076,,394,139046
395,156118,,395,140151
396,156392,,396,139326
397,154934,,397,140244
398,155097,,398,138976
399,155385,,399,139505
400,156007,,400,139375
401,154704,,401,137876
402,156646,,402,138850
403,155470,,403,139167
404,155623,,404,138515
405,155924,,405,138250
406,155961,,406,137562
407,155935,,407,137253
408,155923,,408,136850
409,156268,,409,136892
410,156321,,410,136671
411,155209,,411,136735
412,156567,,412,136570
413,155018,,413,135870
414,155672,,414,136106
415,155955,,415,137201
416,156049,,416,137209
417,156123,,417,137335
418,155919,,418,136843
419,155107,,419,137610
420,156317,,420,138059
421,155119,,421,138145
422,155519,,422,138126
423,155676,,423,139147
424,155797,,424,139927
425,156224,,425,139850
426,155584,,426,140139
427,155437,,427,139819
428,155577,,428,140206
429,156086,,429,141665
430,155851,,430,140547
431,156944,,431,140781
432,156268,,432,141127
433,156327,,433,141735
434,154929,,434,141407
435,156082,,435,141425
436,156564,,436,141191
437,155781,,437,140560
438,155132,,438,141067
439,155008,,439,140851
440,156109,,440,139883
441,155628,,441,139929
442,155915,,442,139507
443,156147,,443,139697
444,155515,,444,139007
445,157303,,445,139066
446,156283,,446,138586
447,155563,,447,138355
448,156075,,448,138532
449,155231,,449,137417
450,156169,,450,137461
451,156632,,451,138255
452,155954,,452,138133
453,156140,,453,136964
454,155829,,454,138147
455,156290,,455,138049
456,155265,,456,138599
457,155021,,457,137968
458,155452,,458,139220
459,156121,,459,138466
460,155528,,460,140144
461,156537,,461,139582
462,154977,,462,140098
463,154723,,463,139738
464,154757,,464,140246
465,154717,,465,140564
466,155764,,466,140914
467,154853,,467,140639
468,154749,,468,141337
469,155309,,469,141008
470,156139,,470,141035
471,155374,,471,141405
472,154865,,472,140558
473,154546,,473,141889
474,155168,,474,140733
475,156028,,475,139966
476,154870,,476,140317
477,154013,,477,140300
478,154850,,478,139592
479,155684,,479,139370
480,154970,,480,139431
481,155678,,481,138579
482,155307,,482,138764
483,155998,,483,137376
484,156216,,484,138701
485,155554,,485,137313
486,155035,,486,136170
487,156223,,487,137333
488,155811,,488,136877
489,155524,,489,136897
490,155892,,490,137133
491,155648,,491,138303
492,154041,,492,137919
493,154681,,493,137453
494,155366,,494,137317
495,156188,,495,137446
496,155797,,496,137519
497,156029,,497,136923
498,153912,,498,137345
499,154905,,499,137449
500,155750,,500,138915
501,155503,,501,138233
502,154480,,502,137879
503,154842,,503,137461
504,154322,,504,139037
505,154909,,505,138516
506,155464,,506,138180
507,154916,,507,138738
508,154641,,508,138361
509,155352,,509,138487
510,155466,,510,139019
511,154444,,511,138007
512,153728,,512,138276
513,155155,,513,138947
514,155072,,514,138718
515,154643,,515,138426
516,154806,,516,138375
517,154036,,517,138412
518,155136,,518,137937
519,154594,,519,137707
520,154659,,520,138265
521,154648,,521,137851
522,155291,,522,138259
523,154051,,523,137091
524,155840,,524,137233
525,153930,,525,137071
526,155113,,526,136638
527,155059,,527,137111
528,154761,,528,136728
529,153907,,529,136358
530,155772,,530,136342
531,153836,,531,137402
532,153906,,532,136825
533,155352,,533,137466
534,155046,,534,137612
535,154768,,535,138163
536,154763,,536,137962
537,155018,,537,138226
538,155284,,538,138888
539,154617,,539,137681
540,154858,,540,138203
541,154272,,541,137205
542,154113,,542,137724
543,155723,,543,138328
544,154480,,544,138160
545,155925,,545,138467
546,155201,,546,138105
547,155171,,547,138506
548,154571,,548,137671
549,154558,,549,138889
550,155471,,550,137621
551,155320,,551,139159
552,155857,,552,137616
553,155330,,553,137966
554,155563,,554,138706
555,156000,,555,138611
556,155323,,556,138447
557,156345,,557,138785
558,156089,,558,137980
559,155946,,559,138295
560,155398,,560,137890
561,155268,,561,138262
562,156324,,562,138058
563,156171,,563,138674
564,156156,,564,138005
565,156348,,565,138363
566,155974,,566,138350
567,155858,,567,137271
568,156889,,568,138341
569,156111,,569,137359
570,156238,,570,139267
571,155852,,571,139051
572,155927,,572,138476
573,156528,,573,138005
574,155559,,574,138817
575,156046,,575,138005
576,156388,,576,138683
577,156612,,577,138087
578,156619,,578,138755
579,156137,,579,138017
580,156657,,580,138262
581,156674,,581,138725
582,156242,,582,139066
583,156224,,583,139012
584,157087,,584,137915
585,157231,,585,138888
586,157175,,586,139609
587,156873,,587,138919
588,157254,,588,139528
589,157120,,589,139148
590,156350,,590,139680
591,157038,,591,138813
592,156137,,592,139034
593,156778,,593,138664
594,157226,,594,139653
595,157290,,595,138795
596,156289,,596,139228
597,157085,,597,139156
598,158488,,598,139245
599,157421,,599,139529
600,156566,,600,138798
601,157154,,601,139889
602,157482,,602,139339
603,157410,,603,138542
604,157779,,604,139846
605,158360,,605,139056
606,158050,,606,139525
607,157879,,607,139029
608,158485,,608,139590
609,157642,,609,139357
610,158056,,610,139977
611,157168,,611,140211
612,158093,,612,139509
613,157722,,613,139553
614,158104,,614,139869
615,157814,,615,139408
616,157976,,616,139405
617,157743,,617,139584
618,157377,,618,140290
619,158028,,619,140579
620,157575,,620,140182
621,158243,,621,139722
622,158980,,622,139728
623,158264,,623,140097
624,158157,,624,140775
625,158134,,625,140404
626,157902,,626,139902
627,158540,,627,140345
628,157222,,628,141120
629,158518,,629,140589
630,158150,,630,140697
631,157723,,631,139531
632,157643,,632,140511
633,159269,,633,140452
634,158568,,634,141375
635,159145,,635,140787
636,158909,,636,142102
637,158423,,637,139816
638,159508,,638,140809
639,157411,,639,140418
640,159291,,640,141430
641,159810,,641,141043
642,159082,,642,141045
643,158761,,643,141120
644,158945,,644,140815
645,158834,,645,140750
646,159263,,646,139912
647,159582,,647,140945
648,158935,,648,141109
649,158855,,649,140788
650,158972,,650,140429
651,159301,,651,140862
652,158973,,652,141507
653,158192,,653,140987
654,159364,,654,141084
655,159547,,655,140622
656,158948,,656,141793
657,159026,,657,141272
658,159706,,658,142233
659,159314,,659,140441
660,159093,,660,141139
661,159254,,661,141418
662,159135,,662,141234
663,159058,,663,141463
664,159024,,664,141790
665,159283,,665,142625
666,159451,,666,142238
667,160239,,667,141460
668,159460,,668,141390
669,159735,,669,142717
670,159060,,670,142233
671,159131,,671,142381
672,159762,,672,142085
673,159724,,673,141939
674,158489,,674,142486
675,159483,,675,141581
676,160136,,676,141618
677,159323,,677,141745
678,159689,,678,142412
679,159573,,679,141831
680,159674,,680,142225
681,159841,,681,142811
682,159681,,682,142042
683,159140,,683,142374
684,160417,,684,142297
685,159749,,685,142364
686,159628,,686,143168
687,160448,,687,142278
688,160337,,688,142298
689,160175,,689,142530
690,159986,,690,141873
691,159829,,691,142322
692,159846,,692,142124
693,160788,,693,142711
694,161021,,694,143109
695,160253,,695,142429
696,160407,,696,142762
697,160332,,697,143065
698,159235,,698,142647
699,160723,,699,141706
700,159490,,700,143283
701,160149,,701,143143
702,160341,,702,143334
703,160236,,703,143262
704,159627,,704,143151
705,159785,,705,143326
706,160076,,706,143122
707,159078,,707,143437
708,160238,,708,142807
709,159271,,709,142856
710,160049,,710,142294
711,159975,,711,143653
712,159904,,712,142634
713,161314,,713,142704
714,159483,,714,142694
715,159373,,715,142985
716,160102,,716,142843
717,160602,,717,142870
718,160643,,718,142715
719,160496,,719,142418
720,159953,,720,143845
721,160652,,721,142921
722,160877,,722,142436
723,160219,,723,142879
724,161274,,724,143423
725,161357,,725,142964
726,160978,,726,143923
727,160683,,727,143001
728,161785,,728,143611
729,160935,,729,143127
730,161032,,730,142645
731,160683,,731,142916
732,160992,,732,143283
733,161635,,733,142595
734,161389,,734,143396
735,161617,,735,143334
736,161249,,736,143613
737,161072,,737,143440
738,160478,,738,143100
739,162610,,739,142966
740,161799,,740,144150
741,161035,,741,143504
742,161153,,742,143780
743,160918,,743,144830
744,161204,,744,143301
745,161116,,745,143668
746,161099,,746,143682
747,161465,,747,143803
748,161048,,748,143835
749,160113,,749,143955
750,161737,,750,143962
751,161276,,751,143530
752,161059,,752,143604
753,160795,,753,143600
754,160791,,754,143728
755,161248,,755,143919
756,161739,,756,143157
757,161469,,757,143601
758,160645,,758,143265
759,160974,,759,142945
760,161679,,760,143931
761,161189,,761,143033
762,161861,,762,143691
763,160405,,763,143103
764,160182,,764,143344
765,161730,,765,143975
766,161987,,766,143125
767,161334,,767,143864
768,162793,,768,143303
769,160774,,769,143150
770,161248,,770,143853
771,161534,,771,144592
772,160978,,772,143384
773,161235,,773,142894
774,162003,,774,143816
775,161910,,775,143686
776,162566,,776,143590
777,162769,,777,143966
778,160815,,778,145135
779,161494,,779,144121
780,161908,,780,143788
781,161510,,781,144546
782,162051,,782,144756
783,160922,,783,144126
784,161246,,784,143491
785,161591,,785,143605
786,160082,,786,143708
787,161806,,787,144636
788,162677,,788,144087
789,161899,,789,144297
790,161315,,790,144587
791,161643,,791,144152
792,162590,,792,144171
793,162200,,793,143704
794,161906,,794,144481
795,162327,,795,144463
796,161345,,796,144016
797,161675,,797,143621
798,162166,,798,143481
799,162340,,799,144353
800,162622,,800,143604
801,162224,,801,144444
802,162434,,802,143973
803,162710,,803,144423
804,161986,,804,145177
805,161460,,805,143964
806,162300,,806,144462
807,161841,,807,143625
808,162195,,808,143849
809,161292,,809,143974
810,161448,,810,144117
811,161639,,811,145237
812,162531,,812,144045
813,163214,,813,145049
814,162024,,814,144145
815,162147,,815,144165
816,161891,,816,144267
817,160895,,817,144683
818,162952,,818,145286
819,162585,,819,144605
820,162061,,820,145555
821,162116,,821,145219
822,162766,,822,145064
823,162096,,823,145332
824,161877,,824,145707
825,162237,,825,145800
826,162113,,826,144045
827,161635,,827,145048
828,162060,,828,144737
829,162209,,829,144868
830,162334,,830,144287
831,162015,,831,144657
832,161112,,832,144305
833,162051,,833,144389
834,162259,,834,144344
835,162098,,835,143953
836,162887,,836,144659
837,162746,,837,144091
838,162418,,838,143478
839,162440,,839,144311
840,162502,,840,144846
841,163186,,841,143878
842,162246,,842,144498
843,163117,,843,144487
844,161513,,844,144186
845,162369,,845,144547
846,162753,,846,144665
847,161961,,847,144653
848,162858,,848,144108
849,162302,,849,144741
850,163447,,850,144703
851,162216,,851,145014
852,161997,,852,145848
853,162624,,853,144767
854,161801,,854,145393
855,162372,,855,144753
856,160919,,856,145512
857,162947,,857,144995
858,161643,,858,144697
859,162360,,859,145347
860,163365,,860,145320
861,163557,,861,145887
862,162430,,862,144808
863,162373,,863,145425
864,162545,,864,145130
865,162543,,865,144527
866,162698,,866,144723
867,162125,,867,145286
868,162536,,868,144915
869,163169,,869,143894
870,161771,,870,144543
871,162719,,871,144918
872,162227,,872,144122
873,160709,,873,145452
874,162838,,874,145090
875,162985,,875,144760
876,162568,,876,144971
877,162956,,877,144967
878,162251,,878,143827
879,162208,,879,145031
880,163030,,880,144352
881,163000,,881,144752
882,162823,,882,144758
