,100 mM K-phosphate,,,100 mM Na-phosphate
time,NADH,,time,NADH
1210,147406,,1210,159953
1211,146250,,1211,159491
1212,146234,,1212,159845
1213,147221,,1213,159252
1214,146574,,1214,159196
1215,145992,,1215,160002
1216,145370,,1216,159198
1217,144777,,1217,160095
1218,144876,,1218,159685
1219,144124,,1219,160076
1220,143447,,1220,159898
1221,143438,,1221,158882
1222,142910,,1222,159265
1223,143260,,1223,159359
1224,144691,,1224,160167
1225,141848,,1225,159814
1226,142868,,1226,159688
1227,142657,,1227,159911
1228,142284,,1228,159330
1229,143430,,1229,160565
1230,143355,,1230,159788
1231,143781,,1231,160229
1232,143311,,1232,161347
1233,143652,,1233,160316
1234,143993,,1234,160303
1235,144717,,1235,159910
1236,144897,,1236,160485
1237,145959,,1237,161510
1238,145063,,1238,161201
1239,146908,,1239,161169
1240,146714,,1240,160809
1241,146461,,1241,161365
1242,147715,,1242,161051
1243,146730,,1243,160247
1244,147682,,1244,160993
1245,147702,,1245,160150
1246,146971,,1246,160114
1247,148092,,1247,161031
1248,147766,,1248,160434
1249,148573,,1249,160825
1250,146859,,1250,160958
1251,146769,,1251,160827
1252,146671,,1252,160704
1253,147738,,1253,161675
1254,147082,,1254,161401
1255,146302,,1255,160900
1256,145681,,1256,160794
1257,145965,,1257,161901
1258,144678,,1258,161609
1259,144489,,1259,160845
1260,144676,,1260,160877
1261,144537,,1261,160597
1262,142811,,1262,161752
1263,145463,,1263,160391
1264,142809,,1264,160653
1265,142470,,1265,160734
1266,143793,,1266,160470
1267,143007,,1267,160564
1268,143134,,1268,161432
1269,143539,,1269,161743
1270,143923,,1270,161312
1271,144267,,1271,161474
1272,144211,,1272,161539
1273,144724,,1273,161937
1274,143892,,1274,161434
1275,144660,,1275,161926
1276,144374,,1276,161359
1277,145004,,1277,161375
1278,145297,,1278,160277
1279,146313,,1279,161465
1280,146016,,1280,161894
1281,146865,,1281,160895
1282,146591,,1282,160385
1283,148384,,1283,161824
1284,147556,,1284,160938
1285,146986,,1285,161339
1286,148348,,1286,161046
1287,147841,,1287,160621
1288,148095,,1288,161428
1289,147938,,1289,161918
1290,148107,,1290,160991
1291,147754,,1291,161653
1292,147486,,1292,161737
1293,147497,,1293,161233
1294,146842,,1294,161578
1295,146936,,1295,160585
1296,146309,,1296,161421
1297,146101,,1297,161219
1298,145228,,1298,161525
1299,145083,,1299,160434
1300,144874,,1300,162132
1301,144940,,1301,162076
1302,144199,,1302,161486
1303,144239,,1303,161140
1304,143379,,1304,161388
1305,143679,,1305,161804
1306,142920,,1306,161686
1307,143684,,1307,161772
1308,143765,,1308,161524
1309,144087,,1309,161332
1310,144696,,1310,161280
1311,144617,,1311,161292
1312,144545,,1312,161923
1313,146156,,1313,161287
1314,145080,,1314,161843
1315,145058,,1315,161974
1316,145953,,1316,161968
1317,146858,,1317,161230
1318,146319,,1318,161439
1319,146697,,1319,161595
1320,147528,,1320,162654
1321,147215,,1321,161419
1322,148015,,1322,162176
1323,148416,,1323,161869
1324,148269,,1324,162093
1325,148126,,1325,161953
1326,148057,,1326,161303
1327,148297,,1327,161706
1328,148215,,1328,161943
1329,148627,,1329,161623
1330,147967,,1330,160819
1331,147660,,1331,161333
1332,146400,,1332,161619
1333,147293,,1333,162019
1334,147050,,1334,161710
1335,146092,,1335,161680
1336,147003,,1336,163394
1337,146396,,1337,161786
1338,145044,,1338,162263
1339,145558,,1339,163454
1340,144762,,1340,161842
1341,144311,,1341,163527
1342,143823,,1342,163403
1343,145125,,1343,163245
1344,145394,,1344,163272
1345,144989,,1345,162027
1346,144778,,1346,162012
1347,143932,,1347,162693
1348,145715,,1348,162278
1349,144124,,1349,162396
1350,144654,,1350,163663
1351,144357,,1351,161719
1352,145115,,1352,162406
1353,145406,,1353,162731
1354,145660,,1354,162012
1355,145111,,1355,162106
1356,145993,,1356,162420
1357,146167,,1357,162490
1358,146543,,1358,163215
1359,149425,,1359,162913
1360,148141,,1360,162798
1361,147921,,1361,163053
1362,148616,,1362,162998
1363,147489,,1363,163725
1364,148008,,1364,161985
1365,147933,,1365,162950
1366,147718,,1366,162309
1367,148403,,1367,163829
1368,148049,,1368,163119
1369,148054,,1369,162010
1370,148338,,1370,163040
1371,148445,,1371,162927
1372,147581,,1372,163264
1373,147453,,1373,163035
1374,147724,,1374,163471
1375,146522,,1375,163591
1376,146620,,1376,163401
1377,146260,,1377,162613
1378,145787,,1378,163722
1379,145454,,1379,163438
1380,145169,,1380,162189
1381,144683,,1381,162432
1382,145652,,1382,162916
1383,144256,,1383,163362
1384,143870,,1384,162142
1385,144510,,1385,163410
1386,144632,,1386,163408
1387,143913,,1387,162713
1388,144122,,1388,164534
1389,144693,,1389,163189
1390,144668,,1390,163802
1391,143820,,1391,163838
1392,144496,,1392,163386
1393,145037,,1393,162925
1394,145761,,1394,163551
1395,146179,,1395,162953
1396,145376,,1396,162608
1397,147020,,1397,163814
1398,147014,,1398,163669
1399,147207,,1399,165115
1400,147236,,1400,163270
1401,147559,,1401,163548
1402,148130,,1402,163028
1403,148465,,1403,163637
1404,148992,,1404,164038
1405,148163,,1405,162113
1406,148042,,1406,162298
1407,149321,,1407,163295
1408,149270,,1408,163409
1409,148305,,1409,163222
1410,147782,,1410,162908
1411,148738,,1411,163299
1412,148089,,1412,163840
1413,147947,,1413,163010
1414,148151,,1414,163397
1415,147202,,1415,164054
1416,147082,,1416,162543
1417,146254,,1417,163066
1418,145767,,1418,163964
1419,146791,,1419,162903
1420,144892,,1420,163598
1421,145602,,1421,163364
1422,144229,,1422,163549
1423,144725,,1423,163521
1424,143872,,1424,163670
1425,145407,,1425,164348
1426,144268,,1426,163914
1427,143746,,1427,163171
1428,144379,,1428,164099
1429,144434,,1429,164106
1430,144457,,1430,163624
1431,145377,,1431,164851
1432,145809,,1432,162458
1433,145515,,1433,164130
1434,144913,,1434,164455
1435,147767,,1435,164164
1436,146308,,1436,163716
1437,146871,,1437,164532
1438,147542,,1438,164283
1439,147483,,1439,163931
1440,147527,,1440,164563
1441,148354,,1441,164371
1442,149030,,1442,164314
1443,149130,,1443,164833
1444,149690,,1444,164929
1445,149048,,1445,164392
1446,148422,,1446,165056
1447,148601,,1447,164657
1448,149296,,1448,164557
1449,149186,,1449,164604
1450,148438,,1450,164684
1451,148116,,1451,164901
1452,147808,,1452,164751
1453,147457,,1453,164747
1454,147733,,1454,164617
1455,147494,,1455,165746
1456,147643,,1456,164739
1457,147599,,1457,165250
1458,145399,,1458,164540
1459,146827,,1459,164897
1460,145130,,1460,163376
1461,145692,,1461,164878
1462,144687,,1462,164801
1463,144568,,1463,165136
1464,144525,,1464,165034
1465,144546,,1465,165532
1466,144711,,1466,164392
1467,145179,,1467,164566
1468,144745,,1468,165469
1469,144876,,1469,165095
1470,146195,,1470,164408
1471,144989,,1471,165357
1472,145181,,1472,165067
1473,146202,,1473,165234
1474,146614,,1474,165137
1475,145802,,1475,165011
1476,146763,,1476,165409
1477,147089,,1477,165026
1478,147143,,1478,165387
1479,147776,,1479,165985
1480,147353,,1480,166271
1481,148193,,1481,164779
1482,148455,,1482,165543
1483,149415,,1483,164958
1484,149138,,1484,165306
1485,148991,,1485,164723
1486,149474,,1486,164281
1487,149660,,1487,165001
1488,148892,,1488,165516
1489,149473,,1489,165846
1490,148257,,1490,165156
1491,148302,,1491,164748
1492,148553,,1492,164614
1493,147851,,1493,166289
1494,148772,,1494,165314
1495,147203,,1495,165375
1496,146717,,1496,166097
1497,146828,,1497,165847
1498,146283,,1498,165968
1499,145406,,1499,166834
1500,145852,,1500,166002
1501,146124,,1501,166579
1502,145307,,1502,167115
1503,145714,,1503,166173
1504,145883,,1504,166244
1505,145772,,1505,166077
1506,145374,,1506,166609
1507,144762,,1507,165816
1508,145792,,1508,166471
1509,145955,,1509,166800
1510,146501,,1510,166471
1511,146485,,1511,165703
1512,146924,,1512,166395
1513,147042,,1513,166157
1514,146956,,1514,166632
1515,147381,,1515,167167
1516,147335,,1516,167451
1517,148517,,1517,166524
1518,148497,,1518,165670
1519,148831,,1519,166065
1520,148824,,1520,166608
1521,149334,,1521,166797
1522,150093,,1522,166947
1523,149008,,1523,167144
1524,149229,,1524,167554
1525,149546,,1525,168038
1526,149550,,1526,166661
1527,149557,,1527,166859
1528,149766,,1528,166778
1529,149577,,1529,168080
1530,149558,,1530,167267
1531,148546,,1531,166886
1532,148027,,1532,166873
1533,148614,,1533,167534
1534,148653,,1534,168001
1535,148039,,1535,167077
1536,148266,,1536,167747
1537,147412,,1537,168133
1538,146653,,1538,167144
1539,146084,,1539,167669
1540,146893,,1540,167943
1541,146616,,1541,167507
1542,146170,,1542,167717
1543,146690,,1543,167248
1544,146338,,1544,167761
1545,146089,,1545,168811
1546,145848,,1546,168406
1547,147010,,1547,168202
1548,146026,,1548,167167
1549,145833,,1549,167839
1550,146863,,1550,167718
1551,146992,,1551,168019
1552,147796,,1552,167334
1553,147263,,1553,168803
1554,147793,,1554,168490
1555,147527,,1555,168482
1556,148669,,1556,167700
1557,148385,,1557,167733
1558,148919,,1558,168045
1559,148497,,1559,168128
1560,148999,,1560,168698
1561,149306,,1561,168234
1562,149760,,1562,167705
1563,150075,,1563,169419
1564,150279,,1564,168542
1565,150567,,1565,169203
1566,149755,,1566,168508
1567,149679,,1567,167991
1568,149971,,1568,168848
1569,149767,,1569,168775
1570,149618,,1570,167929
1571,150137,,1571,167997
1572,148861,,1572,168505
1573,149236,,1573,168245
1574,148895,,1574,169983
1575,147954,,1575,168465
1576,148216,,1576,168152
1577,148365,,1577,168717
1578,147913,,1578,168401
1579,148211,,1579,168449
1580,147214,,1580,169011
1581,146478,,1581,169419
1582,147320,,1582,168399
1583,146523,,1583,169386
1584,146913,,1584,170050
1585,147041,,1585,169275
1586,146558,,1586,168861
1587,145700,,1587,169420
1588,147232,,1588,168802
1589,146946,,1589,169983
1590,146916,,1590,169934
1591,147022,,1591,170170
1592,148229,,1592,170513
1593,147646,,1593,169309
1594,148128,,1594,169617
1595,148383,,1595,170427
1596,148437,,1596,170696
1597,148770,,1597,169262
1598,149266,,1598,169533
1599,149955,,1599,170130
1600,149366,,1600,168960
1601,150270,,1601,170402
1602,151570,,1602,170512
1603,150481,,1603,170639
1604,149902,,1604,170196
1605,150988,,1605,169939
1606,150821,,1606,171727
1607,150744,,1607,170156
1608,149889,,1608,170303
1609,150788,,1609,169960
1610,149805,,1610,171929
1611,150407,,1611,171338
1612,150364,,1612,171012
1613,149983,,1613,169930
1614,149454,,1614,171660
1615,149766,,1615,171131
1616,149017,,1616,170948
1617,149225,,1617,171595
1618,148405,,1618,171853
1619,148602,,1619,171672
1620,148660,,1620,171432
1621,146793,,1621,171348
1622,147765,,1622,171287
1623,148143,,1623,171714
1624,147464,,1624,171893
1625,147443,,1625,171459
1626,146704,,1626,170973
1627,147290,,1627,171587
1628,146929,,1628,172530
1629,147891,,1629,171141
1630,148095,,1630,171614
1631,147821,,1631,171276
1632,148262,,1632,172367
1633,147655,,1633,171414
1634,148805,,1634,171561
1635,148799,,1635,171952
1636,150055,,1636,172378
1637,149688,,1637,172329
1638,150028,,1638,171601
1639,150241,,1639,172522
1640,150326,,1640,172548
1641,150929,,1641,171174
1642,150299,,1642,172294
1643,150690,,1643,172754
1644,150157,,1644,172052
1645,150980,,1645,172815
1646,152359,,1646,172409
1647,151546,,1647,172477
1648,151701,,1648,172057
1649,151043,,1649,173219
1650,151395,,1650,172579
1651,151051,,1651,172551
1652,150559,,1652,171568
1653,150584,,1653,173264
1654,150044,,1654,173520
1655,150443,,1655,172614
1656,150837,,1656,172651
1657,150408,,1657,173727
1658,149889,,1658,173759
1659,149635,,1659,173217
1660,149773,,1660,173242
1661,148535,,1661,173289
1662,149433,,1662,174545
1663,149048,,1663,173874
1664,148294,,1664,174340
1665,148350,,1665,173804
1666,148277,,1666,174401
1667,148066,,1667,174180
1668,148335,,1668,174323
1669,148291,,1669,173361
1670,148475,,1670,173088
1671,147983,,1671,173860
1672,148893,,1672,173952
1673,148463,,1673,173697
1674,149353,,1674,175294
1675,148860,,1675,174405
1676,149235,,1676,174828
1677,149849,,1677,174027
1678,150045,,1678,174233
1679,151001,,1679,173940
1680,151464,,1680,174640
1681,151348,,1681,173497
1682,151421,,1682,173794
1683,151922,,1683,174571
1684,151912,,1684,174453
1685,152762,,1685,176040
1686,153244,,1686,175002
1687,152906,,1687,174460
1688,152818,,1688,174204
1689,152940,,1689,175211
1690,152269,,1690,175949
1691,152397,,1691,175026
1692,152502,,1692,174530
1693,151815,,1693,174886
1694,151798,,1694,174871
1695,151860,,1695,175237
1696,151854,,1696,176375
1697,152150,,1697,176099
1698,150508,,1698,176046
1699,150915,,1699,174714
1700,150509,,1700,176500
1701,150591,,1701,176080
1702,150270,,1702,175922
1703,150759,,1703,176265
1704,150548,,1704,176146
1705,150401,,1705,176318
1706,150589,,1706,175744
1707,148830,,1707,176945
1708,150035,,1708,175974
1709,149956,,1709,175550
1710,150377,,1710,176579
1711,150250,,1711,175861
1712,150166,,1712,176978
1713,149947,,1713,176776
1714,150971,,1714,177650
1715,149707,,1715,177058
1716,150375,,1716,175613
1717,150825,,1717,176726
1718,151857,,1718,176759
1719,151401,,1719,176952
1720,152378,,1720,176661
1721,151471,,1721,176547
1722,152360,,1722,177437
1723,152618,,1723,177108
1724,153266,,1724,177888
1725,152962,,1725,177332
1726,153292,,1726,177540
1727,154067,,1727,177474
1728,154315,,1728,177699
1729,153567,,1729,177900
1730,154336,,1730,177854
1731,153577,,1731,178509
1732,153989,,1732,177796
1733,153184,,1733,176879
1734,153462,,1734,177446
1735,153486,,1735,177934
1736,152988,,1736,178365
1737,153708,,1737,176859
1738,152693,,1738,178704
1739,152290,,1739,178016
1740,152247,,1740,178695
1741,151789,,1741,178261
1742,151744,,1742,177464
1743,151692,,1743,177156
1744,152074,,1744,177366
1745,152352,,1745,178725
1746,150709,,1746,179025
1747,151469,,1747,178203
1748,151227,,1748,178296
1749,151755,,1749,179283
1750,151002,,1750,178721
1751,152027,,1751,178821
1752,150415,,1752,179174
1753,150830,,1753,177635
1754,151443,,1754,178583
1755,150753,,1755,178363
1756,151844,,1756,178407
1757,152055,,1757,178254
1758,152073,,1758,178049
1759,152610,,1759,179255
1760,152901,,1760,178583
1761,152309,,1761,179471
1762,151981,,1762,179405
1763,153557,,1763,179505
1764,153595,,1764,179150
1765,153280,,1765,180362
1766,153573,,1766,178452
1767,154086,,1767,179180
1768,154035,,1768,180092
1769,154625,,1769,179011
1770,154604,,1770,178905
1771,154646,,1771,179532
1772,154341,,1772,178862
1773,155229,,1773,180297
1774,155647,,1774,179117
1775,155397,,1775,179743
1776,154726,,1776,180381
1777,154632,,1777,179386
1778,154229,,1778,179977
1779,154936,,1779,180141
1780,153672,,1780,180281
1781,154537,,1781,179683
1782,153868,,1782,179777
1783,153349,,1783,179125
1784,154418,,1784,179950
1785,153523,,1785,180525
1786,153509,,1786,180039
1787,153379,,1787,179274
1788,153243,,1788,180606
1789,153573,,1789,180530
1790,153155,,1790,180287
1791,152807,,1791,179650
1792,152906,,1792,180023
1793,152542,,1793,179760
1794,152931,,1794,180478
1795,153058,,1795,180877
1796,153331,,1796,180910
1797,153332,,1797,181303
1798,153887,,1798,181467
1799,153711,,1799,180466
1800,154322,,1800,180699
1801,153460,,1801,180195
1802,154106,,1802,180117
1803,153486,,1803,181132
1804,154090,,1804,180580
1805,154338,,1805,181847
1806,154777,,1806,181378
1807,155689,,1807,180408
1808,155080,,1808,180851
1809,155428,,1809,180846
1810,155524,,1810,180727
1811,155249,,1811,181466
1812,155906,,1812,180378
1813,156142,,1813,181112
1814,155683,,1814,181569
1815,156370,,1815,181149
1816,156829,,1816,181556
1817,156551,,1817,181251
1818,156633,,1818,181004
1819,156486,,1819,181679
1820,157126,,1820,182361
1821,156645,,1821,182830
1822,156597,,1822,181787
1823,156519,,1823,181858
1824,156044,,1824,181867
1825,156508,,1825,181957
1826,155269,,1826,182147
1827,155882,,1827,182442
1828,155947,,1828,181442
1829,155271,,1829,182343
1830,155144,,1830,182100
1831,155176,,1831,181052
1832,154471,,1832,182280
1833,155855,,1833,182346
1834,155975,,1834,181582
1835,156127,,1835,182804
1836,155614,,1836,183148
1837,155483,,1837,182675
1838,155742,,1838,181935
1839,155514,,1839,182753
1840,155759,,1840,182356
1841,155543,,1841,182062
1842,155962,,1842,182808
1843,155785,,1843,183304
1844,155938,,1844,181961
1845,155032,,1845,183029
1846,155896,,1846,182256
1847,156083,,1847,182249
1848,156009,,1848,183329
1849,157146,,1849,182342
1850,156459,,1850,182739
1851,157409,,1851,183071
1852,156241,,1852,183114
1853,157916,,1853,182382
1854,157021,,1854,182290
1855,157882,,1855,183489
1856,156878,,1856,182256
1857,157921,,1857,181720
1858,157682,,1858,181745
1859,157397,,1859,182139
1860,158287,,1860,182837
1861,157135,,1861,182791
1862,158258,,1862,182595
1863,158274,,1863,183757
1864,158434,,1864,183927
1865,157968,,1865,183095
1866,159679,,1866,183502
1867,157848,,1867,182734
1868,158462,,1868,183851
1869,157687,,1869,183288
1870,157613,,1870,182136
1871,157349,,1871,182808
1872,157958,,1872,182711
1873,157400,,1873,184167
1874,157300,,1874,182890
1875,157829,,1875,183233
1876,157920,,1876,183510
1877,158162,,1877,184090
1878,159377,,1878,184179
1879,158277,,1879,183860
1880,158529,,1880,184039
1881,158588,,1881,185113
1882,158502,,1882,183946
1883,158366,,1883,183563
1884,158537,,1884,185101
1885,158771,,1885,183658
1886,158905,,1886,183598
1887,157250,,1887,184806
1888,158046,,1888,183904
1889,158364,,1889,184219
1890,158510,,1890,184707
1891,158854,,1891,184535
1892,158877,,1892,184739
1893,158681,,1893,184286
1894,157575,,1894,183922
1895,158805,,1895,184098
1896,159658,,1896,183412
1897,159077,,1897,184501
1898,158485,,1898,183949
1899,158975,,1899,184449
1900,159357,,1900,183226
1901,158380,,1901,184454
1902,159523,,1902,183982
1903,159465,,1903,184952
1904,159088,,1904,183419
1905,159785,,1905,184002
1906,160152,,1906,183675
1907,159718,,1907,184906
1908,160008,,1908,184120
1909,159382,,1909,183575
1910,159573,,1910,184676
1911,159622,,1911,184850
1912,159181,,1912,184387
1913,160481,,1913,184780
1914,159091,,1914,184563
1915,159703,,1915,184635
1916,159796,,1916,184664
1917,160366,,1917,183773
1918,160458,,1918,184360
1919,160624,,1919,184797
1920,160729,,1920,184800
1921,160331,,1921,184365
1922,159635,,1922,184388
1923,159766,,1923,185051
1924,158977,,1924,184961
1925,159531,,1925,185183
1926,159685,,1926,185352
1927,160836,,1927,185626
1928,159652,,1928,185278
1929,160835,,1929,183585
1930,160676,,1930,184534
1931,160064,,1931,185058
1932,160678,,1932,185319
1933,160300,,1933,185098
1934,161353,,1934,185834
1935,159905,,1935,184722
1936,160342,,1936,184279
1937,160586,,1937,185157
1938,161742,,1938,184650
1939,161629,,1939,185147
1940,161357,,1940,184507
1941,160772,,1941,185250
1942,160677,,1942,184797
1943,161109,,1943,185124
1944,161318,,1944,184627
1945,160784,,1945,184522
1946,161101,,1946,185280
1947,161222,,1947,185831
1948,160552,,1948,184051
1949,160694,,1949,185305
1950,161134,,1950,185416
1951,161681,,1951,186555
1952,160963,,1952,186974
1953,161273,,1953,185797
1954,161864,,1954,184759
1955,161844,,1955,185441
1956,161299,,1956,185534
1957,162441,,1957,185990
1958,162513,,1958,185280
1959,162128,,1959,185211
1960,161292,,1960,185776
1961,162113,,1961,185005
1962,161448,,1962,186136
1963,161309,,1963,186053
1964,162152,,1964,185835
1965,161088,,1965,186308
1966,161847,,1966,185526
1967,161594,,1967,184672
1968,161523,,1968,185248
1969,162111,,1969,186160
1970,161656,,1970,185946
1971,161829,,1971,185948
1972,163201,,1972,186720
1973,161620,,1973,185100
1974,162613,,1974,186649
1975,162790,,1975,186968
1976,162219,,1976,185635
1977,161978,,1977,185890
1978,161494,,1978,185939
1979,161597,,1979,185061
1980,161556,,1980,186727
1981,162733,,1981,185709
1982,162170,,1982,185594
1983,161820,,1983,185787
1984,162151,,1984,185056
1985,163239,,1985,186276
1986,162718,,1986,184590
1987,162089,,1987,185615
1988,162763,,1988,185332
1989,162647,,1989,185290
1990,161961,,1990,186392
1991,161887,,1991,185310
1992,162563,,1992,185981
1993,162867,,1993,186418
1994,162966,,1994,185262
1995,162389,,1995,185613
1996,163305,,1996,185050
1997,163663,,1997,184470
1998,162481,,1998,184823
1999,163683,,1999,185070
2000,163309,,2000,185775
2001,162794,,2001,185156
2002,162804,,2002,185692
2003,163524,,2003,185689
2004,163158,,2004,184914
2005,163076,,2005,185000
2006,163514,,2006,185443
2007,163272,,2007,185782
2008,163285,,2008,184352
2009,163723,,2009,185321
2010,162631,,2010,185702
2011,163043,,2011,185806
2012,163844,,2012,185092
2013,163594,,2013,185844
2014,163492,,2014,185443
2015,162510,,2015,186504
2016,163281,,2016,185291
2017,163786,,2017,185984
2018,163294,,2018,185377
2019,163335,,2019,184960
2020,163868,,2020,184772
2021,163571,,2021,184457
2022,163699,,2022,185116
2023,163768,,2023,185202
2024,163495,,2024,185289
2025,163391,,2025,184872
2026,164024,,2026,186045
2027,164232,,2027,185670
2028,164222,,2028,185404
2029,163719,,2029,185031
2030,163582,,2030,186181
2031,165027,,2031,184632
2032,163868,,2032,185993
2033,164541,,2033,185226
2034,163639,,2034,186286
2035,162816,,2035,186316
2036,164069,,2036,185799
2037,164178,,2037,185198
2038,164134,,2038,186503
2039,163176,,2039,186343
2040,164375,,2040,186062
2041,163230,,2041,185948
2042,163620,,2042,184645
2043,163783,,2043,185802
2044,164805,,2044,186069
2045,163543,,2045,186353
2046,164678,,2046,187414
2047,164804,,2047,186643
2048,164298,,2048,186550
2049,165110,,2049,186855
2050,164743,,2050,186729
2051,164374,,2051,186968
2052,163626,,2052,187145
2053,164658,,2053,186175
2054,164293,,2054,185583
2055,164667,,2055,186222
2056,164743,,2056,185209
2057,164291,,2057,185201
2058,163990,,2058,186011
2059,163833,,2059,185574
2060,165062,,2060,186361
2061,164737,,2061,185381
2062,165239,,2062,185881
2063,165219,,2063,186667
2064,164611,,2064,186077
2065,164348,,2065,185604
2066,164559,,2066,186496
2067,163619,,2067,185522
2068,164688,,2068,186393
2069,164338,,2069,186454
2070,163424,,2070,186175
2071,164890,,2071,186402
2072,164901,,2072,187025
2073,165691,,2073,185792
2074,164778,,2074,186520
2075,163879,,2075,186041
2076,165072,,2076,185746
2077,164372,,2077,186627
2078,165221,,2078,185850
2079,165257,,2079,186192
2080,164555,,2080,185873
2081,164839,,2081,186140
2082,164160,,2082,186413
2083,164958,,2083,186395
2084,164554,,2084,186312
2085,164871,,2085,186492
2086,164477,,2086,185929
2087,165151,,2087,186633
2088,166294,,2088,186906
2089,165179,,2089,186031
2090,165038,,2090,186645
2091,165008,,2091,185584
2092,165163,,2092,185705
2093,164487,,2093,186700
2094,164782,,2094,185308
2095,165822,,2095,185617
2096,164995,,2096,185954
2097,165389,,2097,185947
2098,165272,,2098,185738
2099,165441,,2099,186740
2100,164448,,2100,186971
2101,165531,,2101,186317
2102,165426,,2102,186483
2103,165704,,2103,185504
2104,164992,,2104,186499
2105,165484,,2105,186206
2106,165925,,2106,186930
2107,165292,,2107,186480
2108,165772,,2108,185282
2109,165281,,2109,185683
2110,165016,,2110,185953
2111,165013,,2111,184430
2112,165173,,2112,186020
2113,164406,,2113,186515
2114,165544,,2114,185820
2115,165964,,2115,185719
2116,164823,,2116,186550
2117,165245,,2117,186398
2118,166373,,2118,186317
2119,166535,,2119,185429
2120,164917,,2120,186487
2121,165035,,2121,185545
2122,164902,,2122,185339
2123,164956,,2123,186029
2124,165229,,2124,186596
2125,165804,,2125,185862
2126,165300,,2126,186398
2127,164980,,2127,186965
2128,164616,,2128,184976
2129,165131,,2129,186024
2130,165658,,2130,185042
2131,165284,,2131,185445
2132,165326,,2132,186524
2133,164368,,2133,186785
2134,164389,,2134,185679
2135,165191,,2135,185690
2136,165532,,2136,185584
2137,165157,,2137,184820
2138,165435,,2138,186803
2139,165827,,2139,185711
2140,166621,,2140,186810
2141,164989,,2141,184762
2142,164904,,2142,184912
2143,166422,,2143,186193
2144,165565,,2144,185313
2145,165494,,2145,185397
2146,165321,,2146,185467
2147,165569,,2147,185149
2148,165553,,2148,186256
2149,165506,,2149,185905
2150,165522,,2150,184784
2151,166482,,2151,185119
2152,166298,,2152,184368
2153,165545,,2153,186319
2154,165207,,2154,185072
2155,165032,,2155,185149
2156,165508,,2156,185236
2157,165904,,2157,184336
2158,165388,,2158,186053
2159,164943,,2159,185178
2160,165359,,2160,184564
2161,165066,,2161,185339
2162,165940,,2162,185275
2163,165343,,2163,185371
2164,165521,,2164,185649
2165,165714,,2165,185622
2166,165092,,2166,185423
2167,165222,,2167,185253
2168,165051,,2168,185327
2169,166076,,2169,186043
2170,165625,,2170,184972
2171,166110,,2171,186302
2172,165664,,2172,184949
2173,165029,,2173,185378
2174,164555,,2174,186271
2175,165750,,2175,184916
2176,165188,,2176,186084
2177,166360,,2177,186007
2178,165298,,2178,186238
2179,165204,,2179,186427
2180,165573,,2180,187032
2181,165005,,2181,185466
2182,166114,,2182,186179
2183,166204,,2183,186149
2184,165881,,2184,184873
2185,166556,,2185,186838
2186,165942,,2186,185171
2187,166261,,2187,185548
2188,166313,,2188,185933
2189,166547,,2189,185625
2190,165850,,2190,186114
2191,166279,,2191,186963
2192,166253,,2192,184949
2193,166453,,2193,185310
2194,165710,,2194,187365
2195,165929,,2195,186159
2196,166340,,2196,186336
2197,165519,,2197,185341
2198,166888,,2198,185764
2199,165799,,2199,185916
2200,166050,,2200,185475
2201,166030,,2201,187186
2202,166350,,2202,186525
2203,165773,,2203,185390
2204,166543,,2204,185026
2205,167010,,2205,184903
2206,166102,,2206,184934
2207,165983,,2207,185289
2208,165131,,2208,185055
2209,165610,,2209,184813
2210,165378,,2210,185354
2211,166297,,2211,185618
2212,166111,,2212,185250
2213,165551,,2213,185722
2214,165835,,2214,185718
2215,165393,,2215,184448
2216,166305,,2216,185464
2217,165489,,2217,186130
2218,166138,,2218,186184
2219,166472,,2219,184613
2220,165800,,2220,185275
2221,165426,,2221,186386
2222,165465,,2222,186382
2223,165989,,2223,185191
2224,164933,,2224,186147
2225,166398,,2225,185664
2226,165737,,2226,185105
2227,166039,,2227,185423
2228,166419,,2228,184709
2229,166344,,2229,185616
2230,165239,,2230,184792
2231,165881,,2231,185652
2232,165271,,2232,184626
2233,166036,,2233,186041
2234,164590,,2234,185455
2235,165649,,2235,185930
2236,166106,,2236,186233
2237,165290,,2237,185224
2238,165293,,2238,185600
2239,166978,,2239,184623
2240,166015,,2240,184879
2241,165210,,2241,185512
2242,165063,,2242,184696
2243,166315,,2243,185025
2244,165644,,2244,185794
2245,166819,,2245,184628
2246,166506,,2246,185239
2247,166404,,2247,185667
2248,165249,,2248,184569
2249,165387,,2249,186116
2250,164531,,2250,185551
2251,165026,,2251,185917
2252,165214,,2252,184352
2253,165711,,2253,184480
2254,165900,,2254,184951
2255,166000,,2255,185870
2256,165667,,2256,185396
2257,165967,,2257,185185
2258,165707,,2258,184959
2259,165365,,2259,184649
2260,166153,,2260,185396
2261,165635,,2261,184805
2262,166261,,2262,185447
2263,165135,,2263,185634
2264,165168,,2264,184463
2265,165023,,2265,184654
2266,165207,,2266,184316
2267,166397,,2267,185234
2268,165721,,2268,184842
2269,165547,,2269,184418
2270,165603,,2270,184218
2271,165883,,2271,185846
2272,165916,,2272,185064
2273,165533,,2273,185906
2274,165341,,2274,184756
2275,165544,,2275,184628
2276,164978,,2276,185454
2277,165701,,2277,185105
2278,164965,,2278,185166
2279,166237,,2279,183927
2280,165140,,2280,184243
2281,166237,,2281,184922
2282,165926,,2282,184686
